"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-02-22,"EXXON",-100.47,"Chase Sapphire","Travel","Fuel","CAD","Y"
2026-02-28,"MCDONALDS",-223.21,"Chase Sapphire","Meals","Restaurant","USD","Y"
2026-02-27,"EXXON",228.64,"Chase Sapphire","Travel","Fuel","GBP","Y"
2026-02-18,"BOOKING.COM",-172.17,"Chase Sapphire","Travel","Booking Fees","USD","Y"
2026-02-01,"BOOKING.COM",-129.44,"Chase Sapphire","Travel","Booking Fees","BRL","Y"
2026-02-25,"SHELL",-188.09,"Chase Sapphire","Travel","Fuel","BRL","Y"
2026-02-08,"EXXON",-111.96,"Chase Sapphire","Travel","Fuel","GBP","Y"
2026-02-06,"STARBUCKS",-282.21,"Chase Sapphire","Meals","Coffee","AUD","Y"
2026-02-24,"DELTA AIR LINES",-321.72,"Chase Sapphire","Travel","Airfare","GBP","Y"
2026-02-20,"HUDSON NEWS",77.04,"Chase Sapphire","Meals","Snacks","BRL","Y"
2026-02-28,"SHELL",-102.25,"Chase Sapphire","Travel","Fuel","BRL","N"
2026-02-21,"LYFT",-197.64,"Chase Sapphire","Travel","Ground Transportation","CAD","Y"
2026-02-18,"HERTZ",-183.59,"Chase Sapphire","Travel","Car Rental","EUR","Y"
2026-02-10,"UNITED AIRLINES",-55.79,"Chase Sapphire","Travel","Airfare","EUR","N"
2026-02-21,"LYFT",-175.24,"Chase Sapphire","Travel","Ground Transportation","BRL","Y"
2026-02-05,"UNITED AIRLINES",-126.95,"Chase Sapphire","Travel","Airfare","AUD","Y"
2026-02-13,"HILTON",-181.77,"Chase Sapphire","Lodging","Hotel","CAD","N"
2026-02-09,"UNITED AIRLINES",-210.17,"Chase Sapphire","Travel","Airfare","AUD","Y"
2026-02-14,"LYFT",-77.74,"Chase Sapphire","Travel","Ground Transportation","BRL","N"
2026-02-14,"EXPEDIA",-133.02,"Chase Sapphire","Travel","Booking Fees","USD","Y"
2026-02-23,"EXPEDIA",6.22,"Chase Sapphire","Travel","Booking Fees","GBP","Y"
2026-02-02,"LYFT",-285.05,"Chase Sapphire","Travel","Ground Transportation","AUD","N"
2026-02-12,"MARRIOTT",-166.24,"Chase Sapphire","Lodging","Hotel","EUR","Y"
2026-02-28,"UNITED AIRLINES",-175.08,"Chase Sapphire","Travel","Airfare","USD","Y"
2026-02-27,"EXXON",-278.98,"Chase Sapphire","Travel","Fuel","GBP","Y"
2026-02-10,"BOOKING.COM",-30.26,"Chase Sapphire","Travel","Booking Fees","BRL","Y"
2026-02-09,"HERTZ",162.89,"Chase Sapphire","Travel","Car Rental","CAD","Y"
2026-02-10,"MCDONALDS",-316.27,"Chase Sapphire","Meals","Restaurant","USD","Y"
2026-02-10,"HILTON",-221.06,"Chase Sapphire","Lodging","Hotel","EUR","Y"
2026-02-25,"HUDSON NEWS",-282.64,"Chase Sapphire","Meals","Snacks","CAD","Y"
