"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-01-14,"BOOKING.COM",46.16,"Chase Sapphire","Travel","Booking Fees","CAD","Y"
2026-01-10,"HUDSON NEWS",-217.53,"Chase Sapphire","Meals","Snacks","USD","Y"
2026-01-16,"EXXON",-233.63,"Chase Sapphire","Travel","Fuel","USD","Y"
2026-01-13,"LYFT",-214.59,"Chase Sapphire","Travel","Ground Transportation","GBP","Y"
2026-01-21,"UNITED AIRLINES",-64.79,"Chase Sapphire","Travel","Airfare","CAD","N"
2026-01-01,"MCDONALDS",-457.4,"Chase Sapphire","Meals","Restaurant","USD","Y"
2026-01-25,"EXXON",-120.28,"Chase Sapphire","Travel","Fuel","GBP","Y"
2026-01-07,"HILTON",-198.66,"Chase Sapphire","Lodging","Hotel","BRL","Y"
2026-01-03,"UNITED AIRLINES",239.27,"Chase Sapphire","Travel","Airfare","EUR","Y"
2026-01-30,"UNITED AIRLINES",-390.73,"Chase Sapphire","Travel","Airfare","GBP","N"
2026-01-16,"LYFT",-174.7,"Chase Sapphire","Travel","Ground Transportation","AUD","Y"
2026-01-10,"MARRIOTT",-347.89,"Chase Sapphire","Lodging","Hotel","CAD","Y"
2026-01-17,"EXPEDIA",-151.84,"Chase Sapphire","Travel","Booking Fees","BRL","Y"
2026-01-01,"STARBUCKS",-257.39,"Chase Sapphire","Meals","Coffee","AUD","Y"
2026-01-04,"MARRIOTT",-144.44,"Chase Sapphire","Lodging","Hotel","BRL","Y"
2026-01-28,"UNITED AIRLINES",-94.68,"Chase Sapphire","Travel","Airfare","EUR","Y"
2026-01-28,"LYFT",-210.45,"Chase Sapphire","Travel","Ground Transportation","CAD","Y"
2026-01-25,"UBER",-272.69,"Chase Sapphire","Travel","Ground Transportation","USD","N"
2026-01-26,"MCDONALDS",-223.41,"Chase Sapphire","Meals","Restaurant","CAD","Y"
2026-01-22,"BOOKING.COM",-230.09,"Chase Sapphire","Travel","Booking Fees","GBP","N"
2026-01-02,"HERTZ",-329.19,"Chase Sapphire","Travel","Car Rental","CAD","Y"
2026-01-02,"UNITED AIRLINES",-243.67,"Chase Sapphire","Travel","Airfare","USD","Y"
2026-01-05,"EXPEDIA",-173.21,"Chase Sapphire","Travel","Booking Fees","AUD","Y"
2026-01-05,"SHELL",-176.5,"Chase Sapphire","Travel","Fuel","USD","Y"
2026-01-19,"AVIS",-110.45,"Chase Sapphire","Travel","Car Rental","GBP","Y"
2026-01-22,"AVIS",5.03,"Chase Sapphire","Travel","Car Rental","GBP","Y"
2026-01-14,"MCDONALDS",109.96,"Chase Sapphire","Meals","Restaurant","EUR","Y"
2026-01-07,"EXXON",27.09,"Chase Sapphire","Travel","Fuel","AUD","N"
2026-01-02,"AVIS",-227.75,"Chase Sapphire","Travel","Car Rental","EUR","Y"
2026-01-30,"UBER",12.08,"Chase Sapphire","Travel","Ground Transportation","EUR","Y"
