"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-03-20,"EXPEDIA",-310.59,"Chase Sapphire","Travel","Booking Fees","GBP","Y"
2026-03-09,"HUDSON NEWS",-260.52,"Chase Sapphire","Meals","Snacks","AUD","Y"
2026-03-31,"SHELL",-125.97,"Chase Sapphire","Travel","Fuel","GBP","Y"
2026-03-02,"MCDONALDS",-98.75,"Chase Sapphire","Meals","Restaurant","EUR","Y"
2026-03-12,"LYFT",-13.19,"Chase Sapphire","Travel","Ground Transportation","BRL","N"
2026-03-26,"STARBUCKS",-205.88,"Chase Sapphire","Meals","Coffee","USD","N"
2026-03-03,"HERTZ",24.47,"Chase Sapphire","Travel","Car Rental","AUD","Y"
2026-03-05,"AVIS",-253.75,"Chase Sapphire","Travel","Car Rental","EUR","Y"
2026-03-22,"STARBUCKS",-341.55,"Chase Sapphire","Meals","Coffee","EUR","N"
2026-03-28,"BOOKING.COM",-383.52,"Chase Sapphire","Travel","Booking Fees","EUR","Y"
2026-03-27,"STARBUCKS",17.51,"Chase Sapphire","Meals","Coffee","EUR","N"
2026-03-26,"HERTZ",-113.42,"Chase Sapphire","Travel","Car Rental","EUR","Y"
2026-03-01,"AVIS",-165.65,"Chase Sapphire","Travel","Car Rental","GBP","Y"
2026-03-06,"AVIS",-185.23,"Chase Sapphire","Travel","Car Rental","BRL","Y"
2026-03-09,"MARRIOTT",40.35,"Chase Sapphire","Lodging","Hotel","CAD","Y"
2026-03-14,"MARRIOTT",-5.86,"Chase Sapphire","Lodging","Hotel","CAD","N"
2026-03-21,"SHELL",270.45,"Chase Sapphire","Travel","Fuel","USD","N"
2026-03-14,"EXXON",-316.92,"Chase Sapphire","Travel","Fuel","CAD","Y"
2026-03-17,"HILTON",-19.76,"Chase Sapphire","Lodging","Hotel","GBP","Y"
2026-03-22,"AVIS",-82.73,"Chase Sapphire","Travel","Car Rental","GBP","Y"
2026-03-08,"SHELL",-211.32,"Chase Sapphire","Travel","Fuel","EUR","Y"
2026-03-18,"BOOKING.COM",-102.43,"Chase Sapphire","Travel","Booking Fees","BRL","N"
2026-03-25,"UBER",-392.79,"Chase Sapphire","Travel","Ground Transportation","CAD","Y"
2026-03-11,"DELTA AIR LINES",-229.82,"Chase Sapphire","Travel","Airfare","AUD","Y"
2026-03-20,"DELTA AIR LINES",-97.8,"Chase Sapphire","Travel","Airfare","USD","N"
2026-03-20,"HILTON",-158.75,"Chase Sapphire","Lodging","Hotel","CAD","N"
2026-03-28,"DELTA AIR LINES",-303.83,"Chase Sapphire","Travel","Airfare","BRL","Y"
2026-03-27,"UNITED AIRLINES",-28.17,"Chase Sapphire","Travel","Airfare","AUD","Y"
2026-03-09,"HERTZ",-10.43,"Chase Sapphire","Travel","Car Rental","CAD","Y"
2026-03-26,"AVIS",-262.8,"Chase Sapphire","Travel","Car Rental","EUR","N"
