"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-01-08,"EXPEDIA",-74,"Citi Platinum","Travel","Booking Fees","BRL","Y"
2026-01-21,"HUDSON NEWS",21.3,"Citi Platinum","Meals","Snacks","EUR","Y"
2026-01-14,"BOOKING.COM",15.66,"Citi Platinum","Travel","Booking Fees","EUR","Y"
2026-01-16,"EXPEDIA",-45.28,"Citi Platinum","Travel","Booking Fees","BRL","Y"
2026-01-27,"MARRIOTT",-207.98,"Citi Platinum","Lodging","Hotel","BRL","Y"
2026-01-16,"EXXON",-213.76,"Citi Platinum","Travel","Fuel","CAD","Y"
2026-01-03,"DELTA AIR LINES",220.52,"Citi Platinum","Travel","Airfare","BRL","N"
2026-01-14,"STARBUCKS",-199.4,"Citi Platinum","Meals","Coffee","GBP","N"
2026-01-26,"MCDONALDS",64.9,"Citi Platinum","Meals","Restaurant","USD","N"
2026-01-17,"DELTA AIR LINES",-119.23,"Citi Platinum","Travel","Airfare","EUR","Y"
2026-01-31,"BOOKING.COM",-372.76,"Citi Platinum","Travel","Booking Fees","AUD","Y"
2026-01-31,"SHELL",-373.27,"Citi Platinum","Travel","Fuel","CAD","Y"
2026-01-17,"AVIS",-152.74,"Citi Platinum","Travel","Car Rental","BRL","N"
2026-01-13,"EXPEDIA",-132.01,"Citi Platinum","Travel","Booking Fees","AUD","Y"
2026-01-20,"LYFT",-426.9,"Citi Platinum","Travel","Ground Transportation","GBP","Y"
2026-01-02,"SHELL",-247.97,"Citi Platinum","Travel","Fuel","USD","Y"
2026-01-16,"BOOKING.COM",-146.69,"Citi Platinum","Travel","Booking Fees","CAD","Y"
2026-01-14,"MCDONALDS",25.41,"Citi Platinum","Meals","Restaurant","BRL","Y"
2026-01-05,"EXPEDIA",-391.54,"Citi Platinum","Travel","Booking Fees","GBP","Y"
2026-01-30,"UBER",-300.65,"Citi Platinum","Travel","Ground Transportation","GBP","Y"
2026-01-09,"BOOKING.COM",-279.64,"Citi Platinum","Travel","Booking Fees","USD","Y"
2026-01-24,"EXPEDIA",-128.95,"Citi Platinum","Travel","Booking Fees","CAD","Y"
2026-01-31,"EXXON",-110.3,"Citi Platinum","Travel","Fuel","AUD","Y"
2026-01-29,"STARBUCKS",-188.48,"Citi Platinum","Meals","Coffee","CAD","Y"
2026-01-21,"DELTA AIR LINES",-343.48,"Citi Platinum","Travel","Airfare","EUR","Y"
2026-01-27,"DELTA AIR LINES",-225.67,"Citi Platinum","Travel","Airfare","CAD","Y"
2026-01-18,"STARBUCKS",-217.26,"Citi Platinum","Meals","Coffee","GBP","Y"
2026-01-30,"EXXON",-174.31,"Citi Platinum","Travel","Fuel","EUR","Y"
2026-01-29,"MARRIOTT",44.75,"Citi Platinum","Lodging","Hotel","EUR","Y"
2026-01-27,"HILTON",-231.21,"Citi Platinum","Lodging","Hotel","BRL","Y"
