"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-01-22,"EXXON",-58.82,"Chase Sapphire","Travel","Fuel","GBP","Y"
2026-01-11,"UBER",-409.47,"Chase Sapphire","Travel","Ground Transportation","AUD","Y"
2026-01-08,"UBER",236.76,"Chase Sapphire","Travel","Ground Transportation","EUR","N"
2026-01-17,"MARRIOTT",-214.45,"Chase Sapphire","Lodging","Hotel","USD","Y"
2026-01-04,"HERTZ",-23.9,"Chase Sapphire","Travel","Car Rental","CAD","Y"
2026-01-12,"EXPEDIA",-325.9,"Chase Sapphire","Travel","Booking Fees","BRL","N"
2026-01-15,"SHELL",-125.9,"Chase Sapphire","Travel","Fuel","CAD","Y"
2026-01-24,"EXPEDIA",-201.05,"Chase Sapphire","Travel","Booking Fees","EUR","Y"
2026-01-14,"DELTA AIR LINES",35.13,"Chase Sapphire","Travel","Airfare","CAD","Y"
2026-01-19,"AVIS",-89.92,"Chase Sapphire","Travel","Car Rental","USD","Y"
2026-01-27,"UNITED AIRLINES",-16.82,"Chase Sapphire","Travel","Airfare","AUD","Y"
2026-01-11,"DELTA AIR LINES",-241.35,"Chase Sapphire","Travel","Airfare","GBP","Y"
2026-01-17,"AVIS",-5.15,"Chase Sapphire","Travel","Car Rental","AUD","Y"
2026-01-29,"MCDONALDS",-96.3,"Chase Sapphire","Meals","Restaurant","USD","Y"
2026-01-06,"EXPEDIA",-41.49,"Chase Sapphire","Travel","Booking Fees","AUD","Y"
2026-01-12,"EXXON",-189.93,"Chase Sapphire","Travel","Fuel","USD","Y"
2026-01-19,"DELTA AIR LINES",32.41,"Chase Sapphire","Travel","Airfare","AUD","Y"
2026-01-21,"UNITED AIRLINES",-281.02,"Chase Sapphire","Travel","Airfare","AUD","N"
2026-01-17,"STARBUCKS",-197,"Chase Sapphire","Meals","Coffee","CAD","Y"
2026-01-06,"UNITED AIRLINES",-278.23,"Chase Sapphire","Travel","Airfare","EUR","Y"
2026-01-05,"AVIS",-232.64,"Chase Sapphire","Travel","Car Rental","USD","Y"
2026-01-17,"LYFT",-55.48,"Chase Sapphire","Travel","Ground Transportation","EUR","Y"
2026-01-24,"AVIS",-182.94,"Chase Sapphire","Travel","Car Rental","GBP","Y"
2026-01-30,"HERTZ",-118.94,"Chase Sapphire","Travel","Car Rental","USD","Y"
2026-01-16,"MARRIOTT",133.01,"Chase Sapphire","Lodging","Hotel","CAD","Y"
2026-01-09,"EXXON",-74.54,"Chase Sapphire","Travel","Fuel","EUR","N"
2026-01-11,"MCDONALDS",-132.48,"Chase Sapphire","Meals","Restaurant","AUD","Y"
2026-01-05,"DELTA AIR LINES",-37.99,"Chase Sapphire","Travel","Airfare","EUR","Y"
2026-01-14,"EXPEDIA",-139.22,"Chase Sapphire","Travel","Booking Fees","USD","N"
2026-01-31,"MCDONALDS",-222.11,"Chase Sapphire","Meals","Restaurant","GBP","Y"
