"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-03-24,"EXPEDIA",-322.42,"Chase Sapphire","Travel","Booking Fees","GBP","Y"
2026-03-05,"MARRIOTT",17.44,"Chase Sapphire","Lodging","Hotel","EUR","N"
2026-03-07,"HERTZ",-172.88,"Chase Sapphire","Travel","Car Rental","EUR","Y"
2026-03-16,"EXPEDIA",-212.96,"Chase Sapphire","Travel","Booking Fees","BRL","Y"
2026-03-12,"UBER",232.09,"Chase Sapphire","Travel","Ground Transportation","BRL","Y"
2026-03-11,"SHELL",-156,"Chase Sapphire","Travel","Fuel","EUR","Y"
2026-03-19,"UNITED AIRLINES",203.25,"Chase Sapphire","Travel","Airfare","CAD","Y"
2026-03-06,"LYFT",-114.02,"Chase Sapphire","Travel","Ground Transportation","CAD","Y"
2026-03-24,"EXXON",338.21,"Chase Sapphire","Travel","Fuel","USD","Y"
2026-03-26,"UBER",-91.16,"Chase Sapphire","Travel","Ground Transportation","AUD","Y"
2026-03-12,"AVIS",-161.54,"Chase Sapphire","Travel","Car Rental","USD","Y"
2026-03-13,"HERTZ",-93.78,"Chase Sapphire","Travel","Car Rental","CAD","Y"
2026-03-06,"MARRIOTT",-267.88,"Chase Sapphire","Lodging","Hotel","GBP","Y"
2026-03-10,"HERTZ",-272.76,"Chase Sapphire","Travel","Car Rental","AUD","N"
2026-03-08,"STARBUCKS",-233.21,"Chase Sapphire","Meals","Coffee","USD","Y"
2026-03-10,"UBER",-242.16,"Chase Sapphire","Travel","Ground Transportation","GBP","Y"
2026-03-06,"HILTON",5.89,"Chase Sapphire","Lodging","Hotel","GBP","Y"
2026-03-27,"HILTON",39.5,"Chase Sapphire","Lodging","Hotel","GBP","Y"
2026-03-19,"AVIS",-168.83,"Chase Sapphire","Travel","Car Rental","BRL","Y"
2026-03-29,"HERTZ",-193.07,"Chase Sapphire","Travel","Car Rental","USD","Y"
2026-03-30,"SHELL",-189.48,"Chase Sapphire","Travel","Fuel","AUD","N"
2026-03-23,"MCDONALDS",-141.69,"Chase Sapphire","Meals","Restaurant","CAD","Y"
2026-03-17,"DELTA AIR LINES",-138.37,"Chase Sapphire","Travel","Airfare","GBP","Y"
2026-03-22,"HERTZ",-115.2,"Chase Sapphire","Travel","Car Rental","CAD","Y"
2026-03-21,"UNITED AIRLINES",-239.6,"Chase Sapphire","Travel","Airfare","BRL","Y"
2026-03-02,"UBER",-251.63,"Chase Sapphire","Travel","Ground Transportation","USD","Y"
2026-03-23,"MARRIOTT",-6.35,"Chase Sapphire","Lodging","Hotel","CAD","N"
2026-03-19,"AVIS",-215.84,"Chase Sapphire","Travel","Car Rental","BRL","Y"
2026-03-19,"SHELL",-113.63,"Chase Sapphire","Travel","Fuel","AUD","Y"
2026-03-20,"EXPEDIA",-156.84,"Chase Sapphire","Travel","Booking Fees","USD","N"
