"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-01-22,"MARRIOTT",-338.61,"American Express","Lodging","Hotel","EUR","Y"
2026-01-25,"HILTON",-33.9,"American Express","Lodging","Hotel","USD","N"
2026-01-23,"SHELL",-341.34,"American Express","Travel","Fuel","USD","Y"
2026-01-09,"UNITED AIRLINES",-125.71,"American Express","Travel","Airfare","CAD","Y"
2026-01-15,"EXPEDIA",-199.41,"American Express","Travel","Booking Fees","EUR","Y"
2026-01-28,"EXPEDIA",-59.9,"American Express","Travel","Booking Fees","AUD","Y"
2026-01-03,"HERTZ",120.73,"American Express","Travel","Car Rental","EUR","Y"
2026-01-24,"HILTON",-229.42,"American Express","Lodging","Hotel","USD","Y"
2026-01-26,"DELTA AIR LINES",-164.89,"American Express","Travel","Airfare","GBP","N"
2026-01-06,"MARRIOTT",-117.67,"American Express","Lodging","Hotel","BRL","Y"
2026-01-10,"SHELL",-251.35,"American Express","Travel","Fuel","EUR","Y"
2026-01-12,"EXXON",-199.65,"American Express","Travel","Fuel","AUD","Y"
2026-01-15,"MARRIOTT",-304.34,"American Express","Lodging","Hotel","EUR","Y"
2026-01-09,"SHELL",-350.55,"American Express","Travel","Fuel","CAD","Y"
2026-01-25,"HERTZ",-262.85,"American Express","Travel","Car Rental","EUR","Y"
2026-01-15,"UNITED AIRLINES",123.21,"American Express","Travel","Airfare","GBP","N"
2026-01-04,"UNITED AIRLINES",-151.64,"American Express","Travel","Airfare","CAD","Y"
2026-01-25,"HUDSON NEWS",-264.95,"American Express","Meals","Snacks","GBP","Y"
2026-01-09,"STARBUCKS",206.02,"American Express","Meals","Coffee","GBP","Y"
2026-01-05,"SHELL",-209.5,"American Express","Travel","Fuel","EUR","N"
2026-01-14,"DELTA AIR LINES",-229.24,"American Express","Travel","Airfare","GBP","Y"
2026-01-17,"MCDONALDS",-275.22,"American Express","Meals","Restaurant","GBP","Y"
2026-01-02,"UNITED AIRLINES",-111.42,"American Express","Travel","Airfare","AUD","Y"
2026-01-19,"MCDONALDS",-84.58,"American Express","Meals","Restaurant","USD","N"
2026-01-05,"EXPEDIA",-226.33,"American Express","Travel","Booking Fees","USD","Y"
2026-01-24,"HUDSON NEWS",15.17,"American Express","Meals","Snacks","CAD","Y"
2026-01-11,"HUDSON NEWS",-28.5,"American Express","Meals","Snacks","GBP","Y"
2026-01-01,"DELTA AIR LINES",-214.79,"American Express","Travel","Airfare","EUR","Y"
2026-01-07,"LYFT",-278.69,"American Express","Travel","Ground Transportation","BRL","Y"
2026-01-15,"AVIS",-98.53,"American Express","Travel","Car Rental","CAD","Y"
