"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-03-17,"HILTON",-178.57,"American Express","Lodging","Hotel","USD","N"
2026-03-15,"LYFT",-77.54,"American Express","Travel","Ground Transportation","CAD","Y"
2026-03-14,"BOOKING.COM",-87.07,"American Express","Travel","Booking Fees","EUR","Y"
2026-03-17,"LYFT",-226.52,"American Express","Travel","Ground Transportation","USD","Y"
2026-03-17,"MCDONALDS",-251.22,"American Express","Meals","Restaurant","BRL","Y"
2026-03-31,"HUDSON NEWS",-223.12,"American Express","Meals","Snacks","USD","Y"
2026-03-29,"MARRIOTT",-364.86,"American Express","Lodging","Hotel","CAD","Y"
2026-03-21,"UBER",178.78,"American Express","Travel","Ground Transportation","EUR","N"
2026-03-08,"AVIS",28.13,"American Express","Travel","Car Rental","CAD","Y"
2026-03-05,"STARBUCKS",-70.63,"American Express","Meals","Coffee","USD","Y"
2026-03-12,"UBER",-247.83,"American Express","Travel","Ground Transportation","CAD","N"
2026-03-20,"HUDSON NEWS",-202.29,"American Express","Meals","Snacks","CAD","Y"
2026-03-20,"LYFT",-62.22,"American Express","Travel","Ground Transportation","AUD","Y"
2026-03-05,"HERTZ",30.57,"American Express","Travel","Car Rental","AUD","Y"
2026-03-24,"DELTA AIR LINES",187.17,"American Express","Travel","Airfare","USD","Y"
2026-03-25,"MARRIOTT",-304.42,"American Express","Lodging","Hotel","BRL","N"
2026-03-18,"EXXON",-275.11,"American Express","Travel","Fuel","AUD","Y"
2026-03-08,"UNITED AIRLINES",-24.21,"American Express","Travel","Airfare","BRL","Y"
2026-03-19,"EXPEDIA",-224.75,"American Express","Travel","Booking Fees","EUR","Y"
2026-03-03,"MARRIOTT",55.05,"American Express","Lodging","Hotel","CAD","Y"
2026-03-05,"STARBUCKS",-88.98,"American Express","Meals","Coffee","EUR","Y"
2026-03-08,"DELTA AIR LINES",-116.82,"American Express","Travel","Airfare","BRL","N"
2026-03-12,"SHELL",17.75,"American Express","Travel","Fuel","EUR","Y"
2026-03-05,"MARRIOTT",-354.95,"American Express","Lodging","Hotel","USD","Y"
2026-03-23,"UBER",-24.21,"American Express","Travel","Ground Transportation","USD","Y"
2026-03-26,"EXXON",49.79,"American Express","Travel","Fuel","GBP","Y"
2026-03-28,"AVIS",-264.22,"American Express","Travel","Car Rental","EUR","Y"
2026-03-25,"MCDONALDS",-183.55,"American Express","Meals","Restaurant","AUD","Y"
2026-03-15,"AVIS",-101.89,"American Express","Travel","Car Rental","BRL","Y"
2026-03-24,"HUDSON NEWS",-318.03,"American Express","Meals","Snacks","EUR","Y"
