"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-02-04,"UBER",146.89,"Citi Platinum","Travel","Ground Transportation","BRL","Y"
2026-02-26,"MCDONALDS",-121.4,"Citi Platinum","Meals","Restaurant","CAD","N"
2026-02-08,"AVIS",-111.12,"Citi Platinum","Travel","Car Rental","BRL","Y"
2026-02-22,"EXPEDIA",-129.68,"Citi Platinum","Travel","Booking Fees","EUR","Y"
2026-02-14,"UBER",18.98,"Citi Platinum","Travel","Ground Transportation","AUD","Y"
2026-02-27,"BOOKING.COM",-28.81,"Citi Platinum","Travel","Booking Fees","GBP","N"
2026-02-28,"MCDONALDS",-119.35,"Citi Platinum","Meals","Restaurant","AUD","Y"
2026-02-08,"SHELL",-70.19,"Citi Platinum","Travel","Fuel","BRL","Y"
2026-02-10,"BOOKING.COM",-460.7,"Citi Platinum","Travel","Booking Fees","BRL","N"
2026-02-06,"UBER",-179.27,"Citi Platinum","Travel","Ground Transportation","BRL","N"
2026-02-04,"EXXON",-282.72,"Citi Platinum","Travel","Fuel","EUR","Y"
2026-02-11,"LYFT",3.69,"Citi Platinum","Travel","Ground Transportation","EUR","Y"
2026-02-16,"DELTA AIR LINES",-148.07,"Citi Platinum","Travel","Airfare","AUD","Y"
2026-02-07,"LYFT",-230.84,"Citi Platinum","Travel","Ground Transportation","EUR","Y"
2026-02-08,"UNITED AIRLINES",-99.94,"Citi Platinum","Travel","Airfare","EUR","N"
2026-02-05,"HILTON",67.88,"Citi Platinum","Lodging","Hotel","GBP","N"
2026-02-26,"MCDONALDS",-218.21,"Citi Platinum","Meals","Restaurant","USD","Y"
2026-02-14,"LYFT",-199.18,"Citi Platinum","Travel","Ground Transportation","CAD","N"
2026-02-14,"UBER",-211.49,"Citi Platinum","Travel","Ground Transportation","CAD","Y"
2026-02-20,"MCDONALDS",218.67,"Citi Platinum","Meals","Restaurant","USD","N"
2026-02-07,"AVIS",-41.66,"Citi Platinum","Travel","Car Rental","CAD","Y"
2026-02-09,"MARRIOTT",-239.76,"Citi Platinum","Lodging","Hotel","USD","Y"
2026-02-20,"HERTZ",-159.61,"Citi Platinum","Travel","Car Rental","USD","Y"
2026-02-21,"DELTA AIR LINES",-276.63,"Citi Platinum","Travel","Airfare","CAD","Y"
2026-02-12,"STARBUCKS",-117.36,"Citi Platinum","Meals","Coffee","AUD","Y"
2026-02-11,"BOOKING.COM",-173.43,"Citi Platinum","Travel","Booking Fees","BRL","N"
2026-02-17,"HILTON",-304.03,"Citi Platinum","Lodging","Hotel","AUD","Y"
2026-02-02,"STARBUCKS",-227.02,"Citi Platinum","Meals","Coffee","AUD","Y"
2026-02-08,"BOOKING.COM",-266.48,"Citi Platinum","Travel","Booking Fees","EUR","Y"
2026-02-23,"HERTZ",-305.08,"Citi Platinum","Travel","Car Rental","BRL","Y"
