"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-01-05,"MARRIOTT",-316.02,"Citi Platinum","Lodging","Hotel","BRL","N"
2026-01-05,"UNITED AIRLINES",0.4,"Citi Platinum","Travel","Airfare","BRL","Y"
2026-01-20,"MARRIOTT",-374.25,"Citi Platinum","Lodging","Hotel","USD","Y"
2026-01-26,"SHELL",-295.04,"Citi Platinum","Travel","Fuel","USD","Y"
2026-01-23,"AVIS",80.23,"Citi Platinum","Travel","Car Rental","AUD","Y"
2026-01-19,"MCDONALDS",-108.76,"Citi Platinum","Meals","Restaurant","EUR","Y"
2026-01-15,"UBER",-45.76,"Citi Platinum","Travel","Ground Transportation","GBP","Y"
2026-01-28,"HERTZ",-263.55,"Citi Platinum","Travel","Car Rental","USD","N"
2026-01-24,"MARRIOTT",-343.08,"Citi Platinum","Lodging","Hotel","BRL","Y"
2026-01-02,"LYFT",-29.89,"Citi Platinum","Travel","Ground Transportation","BRL","Y"
2026-01-10,"HILTON",-80.95,"Citi Platinum","Lodging","Hotel","EUR","Y"
2026-01-21,"EXPEDIA",118.86,"Citi Platinum","Travel","Booking Fees","GBP","N"
2026-01-20,"HERTZ",-278.68,"Citi Platinum","Travel","Car Rental","USD","Y"
2026-01-06,"SHELL",-370.36,"Citi Platinum","Travel","Fuel","GBP","Y"
2026-01-23,"AVIS",-52.67,"Citi Platinum","Travel","Car Rental","GBP","Y"
2026-01-05,"UBER",45.43,"Citi Platinum","Travel","Ground Transportation","USD","Y"
2026-01-18,"BOOKING.COM",-170.32,"Citi Platinum","Travel","Booking Fees","BRL","Y"
2026-01-27,"STARBUCKS",-46.98,"Citi Platinum","Meals","Coffee","GBP","Y"
2026-01-09,"HILTON",-202.99,"Citi Platinum","Lodging","Hotel","USD","Y"
2026-01-31,"HUDSON NEWS",-19.7,"Citi Platinum","Meals","Snacks","BRL","Y"
2026-01-27,"BOOKING.COM",-105.34,"Citi Platinum","Travel","Booking Fees","BRL","Y"
2026-01-11,"STARBUCKS",-89.52,"Citi Platinum","Meals","Coffee","USD","Y"
2026-01-29,"EXPEDIA",-307.48,"Citi Platinum","Travel","Booking Fees","CAD","N"
2026-01-01,"UNITED AIRLINES",-234.42,"Citi Platinum","Travel","Airfare","GBP","Y"
2026-01-07,"MCDONALDS",-218.55,"Citi Platinum","Meals","Restaurant","USD","Y"
2026-01-14,"HERTZ",-180.48,"Citi Platinum","Travel","Car Rental","AUD","Y"
2026-01-08,"UNITED AIRLINES",-317.9,"Citi Platinum","Travel","Airfare","CAD","Y"
2026-01-03,"MCDONALDS",-74.35,"Citi Platinum","Meals","Restaurant","USD","Y"
2026-01-17,"UNITED AIRLINES",-259,"Citi Platinum","Travel","Airfare","USD","Y"
2026-01-13,"UBER",-115.03,"Citi Platinum","Travel","Ground Transportation","BRL","Y"
