"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-02-24,"HILTON",-26.28,"American Express","Lodging","Hotel","AUD","Y"
2026-02-24,"BOOKING.COM",-161.3,"American Express","Travel","Booking Fees","AUD","Y"
2026-02-11,"BOOKING.COM",132.98,"American Express","Travel","Booking Fees","CAD","N"
2026-02-03,"HILTON",-3.33,"American Express","Lodging","Hotel","EUR","Y"
2026-02-11,"STARBUCKS",-124.36,"American Express","Meals","Coffee","GBP","Y"
2026-02-18,"EXPEDIA",-252.16,"American Express","Travel","Booking Fees","USD","N"
2026-02-20,"LYFT",-206.45,"American Express","Travel","Ground Transportation","BRL","N"
2026-02-06,"UBER",-67.66,"American Express","Travel","Ground Transportation","AUD","N"
2026-02-01,"UNITED AIRLINES",430.31,"American Express","Travel","Airfare","CAD","N"
2026-02-06,"HILTON",-18.57,"American Express","Lodging","Hotel","BRL","Y"
2026-02-26,"AVIS",-338.06,"American Express","Travel","Car Rental","USD","Y"
2026-02-28,"LYFT",-147.37,"American Express","Travel","Ground Transportation","USD","N"
2026-02-04,"MCDONALDS",-172.84,"American Express","Meals","Restaurant","EUR","Y"
2026-02-18,"UNITED AIRLINES",5.17,"American Express","Travel","Airfare","EUR","Y"
2026-02-11,"UBER",-127.34,"American Express","Travel","Ground Transportation","BRL","Y"
2026-02-20,"AVIS",-137.77,"American Express","Travel","Car Rental","GBP","Y"
2026-02-11,"MARRIOTT",-66.22,"American Express","Lodging","Hotel","CAD","N"
2026-02-22,"HUDSON NEWS",-249.24,"American Express","Meals","Snacks","EUR","Y"
2026-02-14,"UBER",-173.51,"American Express","Travel","Ground Transportation","BRL","Y"
2026-02-06,"HILTON",-8.69,"American Express","Lodging","Hotel","BRL","Y"
2026-02-04,"EXPEDIA",-67.98,"American Express","Travel","Booking Fees","GBP","Y"
2026-02-12,"MARRIOTT",-303.06,"American Express","Lodging","Hotel","EUR","Y"
2026-02-16,"MCDONALDS",-73.45,"American Express","Meals","Restaurant","BRL","N"
2026-02-21,"BOOKING.COM",-315.31,"American Express","Travel","Booking Fees","AUD","N"
2026-02-27,"UBER",-221.8,"American Express","Travel","Ground Transportation","AUD","Y"
2026-02-21,"UNITED AIRLINES",-4.69,"American Express","Travel","Airfare","GBP","Y"
2026-02-10,"EXXON",-420.13,"American Express","Travel","Fuel","CAD","N"
2026-02-10,"EXPEDIA",-363.48,"American Express","Travel","Booking Fees","GBP","N"
2026-02-20,"HUDSON NEWS",6.16,"American Express","Meals","Snacks","CAD","Y"
2026-02-07,"EXPEDIA",-247.78,"American Express","Travel","Booking Fees","BRL","Y"
