"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-01-19,"STARBUCKS",115.21,"American Express","Meals","Coffee","EUR","Y"
2026-01-02,"MCDONALDS",-214.27,"American Express","Meals","Restaurant","AUD","Y"
2026-01-06,"HUDSON NEWS",-109.84,"American Express","Meals","Snacks","GBP","Y"
2026-01-28,"HILTON",-191.52,"American Express","Lodging","Hotel","EUR","Y"
2026-01-11,"STARBUCKS",-229.39,"American Express","Meals","Coffee","EUR","Y"
2026-01-09,"BOOKING.COM",-176.29,"American Express","Travel","Booking Fees","USD","Y"
2026-01-19,"MARRIOTT",-194.03,"American Express","Lodging","Hotel","EUR","N"
2026-01-14,"HILTON",-18.65,"American Express","Lodging","Hotel","AUD","Y"
2026-01-24,"LYFT",-124.9,"American Express","Travel","Ground Transportation","CAD","Y"
2026-01-12,"BOOKING.COM",-98.1,"American Express","Travel","Booking Fees","AUD","Y"
2026-01-01,"LYFT",-298.9,"American Express","Travel","Ground Transportation","AUD","Y"
2026-01-27,"SHELL",29.62,"American Express","Travel","Fuel","GBP","N"
2026-01-02,"UNITED AIRLINES",-130.88,"American Express","Travel","Airfare","CAD","N"
2026-01-18,"EXXON",-252.75,"American Express","Travel","Fuel","USD","Y"
2026-01-07,"HILTON",-112.91,"American Express","Lodging","Hotel","USD","N"
2026-01-28,"DELTA AIR LINES",-45.55,"American Express","Travel","Airfare","EUR","Y"
2026-01-05,"AVIS",-316.04,"American Express","Travel","Car Rental","AUD","N"
2026-01-15,"BOOKING.COM",52.81,"American Express","Travel","Booking Fees","AUD","Y"
2026-01-29,"BOOKING.COM",-168.96,"American Express","Travel","Booking Fees","AUD","N"
2026-01-22,"EXXON",-15.46,"American Express","Travel","Fuel","CAD","Y"
2026-01-21,"LYFT",-141.33,"American Express","Travel","Ground Transportation","BRL","Y"
2026-01-05,"UNITED AIRLINES",-189.89,"American Express","Travel","Airfare","EUR","Y"
2026-01-12,"EXPEDIA",-370.19,"American Express","Travel","Booking Fees","BRL","Y"
2026-01-04,"HERTZ",-282.02,"American Express","Travel","Car Rental","BRL","Y"
2026-01-29,"STARBUCKS",-154.96,"American Express","Meals","Coffee","BRL","Y"
2026-01-04,"STARBUCKS",-50.66,"American Express","Meals","Coffee","USD","Y"
2026-01-08,"HUDSON NEWS",-375.8,"American Express","Meals","Snacks","GBP","N"
2026-01-25,"HUDSON NEWS",15.05,"American Express","Meals","Snacks","EUR","Y"
2026-01-01,"MCDONALDS",17.88,"American Express","Meals","Restaurant","BRL","N"
2026-01-26,"HERTZ",-287.2,"American Express","Travel","Car Rental","USD","Y"
