"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-03-20,"HUDSON NEWS",-227.24,"American Express","Meals","Snacks","EUR","Y"
2026-03-04,"EXPEDIA",95.52,"American Express","Travel","Booking Fees","AUD","Y"
2026-03-11,"MCDONALDS",-217.29,"American Express","Meals","Restaurant","USD","Y"
2026-03-25,"LYFT",-250.32,"American Express","Travel","Ground Transportation","GBP","Y"
2026-03-12,"UBER",-71.65,"American Express","Travel","Ground Transportation","CAD","Y"
2026-03-13,"EXPEDIA",-97.04,"American Express","Travel","Booking Fees","EUR","Y"
2026-03-18,"MCDONALDS",-59.8,"American Express","Meals","Restaurant","GBP","N"
2026-03-11,"HERTZ",183.36,"American Express","Travel","Car Rental","USD","N"
2026-03-08,"LYFT",-15.28,"American Express","Travel","Ground Transportation","USD","N"
2026-03-19,"MARRIOTT",-290.71,"American Express","Lodging","Hotel","EUR","Y"
2026-03-26,"BOOKING.COM",-155.87,"American Express","Travel","Booking Fees","EUR","Y"
2026-03-16,"EXPEDIA",-234.5,"American Express","Travel","Booking Fees","USD","N"
2026-03-15,"DELTA AIR LINES",-68.31,"American Express","Travel","Airfare","GBP","N"
2026-03-31,"HERTZ",134.4,"American Express","Travel","Car Rental","EUR","Y"
2026-03-21,"SHELL",-16.84,"American Express","Travel","Fuel","GBP","Y"
2026-03-31,"DELTA AIR LINES",97.02,"American Express","Travel","Airfare","USD","Y"
2026-03-18,"STARBUCKS",-133.12,"American Express","Meals","Coffee","EUR","Y"
2026-03-20,"UNITED AIRLINES",-214.15,"American Express","Travel","Airfare","GBP","Y"
2026-03-26,"MARRIOTT",-248.82,"American Express","Lodging","Hotel","AUD","Y"
2026-03-05,"HUDSON NEWS",-181.56,"American Express","Meals","Snacks","GBP","Y"
2026-03-07,"MCDONALDS",-158.35,"American Express","Meals","Restaurant","EUR","N"
2026-03-31,"HILTON",89.02,"American Express","Lodging","Hotel","EUR","Y"
2026-03-29,"DELTA AIR LINES",-285.49,"American Express","Travel","Airfare","CAD","Y"
2026-03-31,"SHELL",-281.19,"American Express","Travel","Fuel","GBP","Y"
2026-03-18,"MCDONALDS",-198.96,"American Express","Meals","Restaurant","AUD","Y"
2026-03-18,"BOOKING.COM",-79.49,"American Express","Travel","Booking Fees","CAD","Y"
2026-03-10,"HILTON",-51.47,"American Express","Lodging","Hotel","USD","N"
2026-03-05,"UNITED AIRLINES",-258.95,"American Express","Travel","Airfare","EUR","Y"
2026-03-16,"STARBUCKS",-134.76,"American Express","Meals","Coffee","EUR","Y"
2026-03-11,"MARRIOTT",-155.15,"American Express","Lodging","Hotel","USD","Y"
