"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-02-16,"MCDONALDS",-205.64,"Chase Sapphire","Meals","Restaurant","BRL","Y"
2026-02-13,"BOOKING.COM",189.16,"Chase Sapphire","Travel","Booking Fees","BRL","Y"
2026-02-12,"SHELL",-44.1,"Chase Sapphire","Travel","Fuel","USD","Y"
2026-02-05,"HERTZ",3.75,"Chase Sapphire","Travel","Car Rental","EUR","Y"
2026-02-04,"MARRIOTT",-229.04,"Chase Sapphire","Lodging","Hotel","BRL","Y"
2026-02-25,"HERTZ",-70.25,"Chase Sapphire","Travel","Car Rental","AUD","Y"
2026-02-16,"UNITED AIRLINES",-217.82,"Chase Sapphire","Travel","Airfare","USD","N"
2026-02-27,"MARRIOTT",-265.46,"Chase Sapphire","Lodging","Hotel","AUD","Y"
2026-02-19,"AVIS",-75.2,"Chase Sapphire","Travel","Car Rental","USD","Y"
2026-02-12,"UNITED AIRLINES",-137.22,"Chase Sapphire","Travel","Airfare","EUR","Y"
2026-02-16,"HUDSON NEWS",-103.28,"Chase Sapphire","Meals","Snacks","GBP","Y"
2026-02-01,"UNITED AIRLINES",-219.66,"Chase Sapphire","Travel","Airfare","AUD","Y"
2026-02-20,"DELTA AIR LINES",65.4,"Chase Sapphire","Travel","Airfare","CAD","Y"
2026-02-25,"MARRIOTT",-70.17,"Chase Sapphire","Lodging","Hotel","AUD","Y"
2026-02-17,"BOOKING.COM",194.93,"Chase Sapphire","Travel","Booking Fees","GBP","Y"
2026-02-16,"EXPEDIA",-65.67,"Chase Sapphire","Travel","Booking Fees","EUR","Y"
2026-02-06,"HILTON",-295.74,"Chase Sapphire","Lodging","Hotel","CAD","Y"
2026-02-05,"STARBUCKS",-166.53,"Chase Sapphire","Meals","Coffee","CAD","N"
2026-02-02,"MARRIOTT",18.4,"Chase Sapphire","Lodging","Hotel","AUD","Y"
2026-02-07,"LYFT",-172.66,"Chase Sapphire","Travel","Ground Transportation","EUR","Y"
2026-02-27,"UBER",-40.74,"Chase Sapphire","Travel","Ground Transportation","AUD","Y"
2026-02-14,"HILTON",-176.63,"Chase Sapphire","Lodging","Hotel","BRL","Y"
2026-02-27,"EXXON",-425.76,"Chase Sapphire","Travel","Fuel","AUD","Y"
2026-02-25,"HILTON",-255.63,"Chase Sapphire","Lodging","Hotel","BRL","N"
2026-02-15,"SHELL",-123.27,"Chase Sapphire","Travel","Fuel","USD","Y"
2026-02-16,"DELTA AIR LINES",23.59,"Chase Sapphire","Travel","Airfare","EUR","Y"
2026-02-07,"UNITED AIRLINES",-221.21,"Chase Sapphire","Travel","Airfare","USD","Y"
2026-02-28,"EXXON",-116.88,"Chase Sapphire","Travel","Fuel","CAD","Y"
2026-02-04,"AVIS",-265.78,"Chase Sapphire","Travel","Car Rental","GBP","Y"
2026-02-04,"MARRIOTT",-271.97,"Chase Sapphire","Lodging","Hotel","USD","N"
