"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-01-01,"BOOKING.COM",-54.73,"Chase Sapphire","Travel","Booking Fees","AUD","N"
2026-01-06,"MARRIOTT",-166.86,"Chase Sapphire","Lodging","Hotel","USD","Y"
2026-01-02,"LYFT",-95.3,"Chase Sapphire","Travel","Ground Transportation","CAD","Y"
2026-01-10,"MARRIOTT",-287.47,"Chase Sapphire","Lodging","Hotel","BRL","N"
2026-01-26,"UNITED AIRLINES",-179.96,"Chase Sapphire","Travel","Airfare","USD","Y"
2026-01-18,"HERTZ",-200.44,"Chase Sapphire","Travel","Car Rental","AUD","Y"
2026-01-01,"MCDONALDS",-126.52,"Chase Sapphire","Meals","Restaurant","USD","Y"
2026-01-18,"UNITED AIRLINES",-107.12,"Chase Sapphire","Travel","Airfare","EUR","Y"
2026-01-24,"EXPEDIA",164.83,"Chase Sapphire","Travel","Booking Fees","BRL","Y"
2026-01-24,"LYFT",-241.95,"Chase Sapphire","Travel","Ground Transportation","USD","Y"
2026-01-22,"UBER",-261.57,"Chase Sapphire","Travel","Ground Transportation","USD","Y"
2026-01-02,"STARBUCKS",-116.58,"Chase Sapphire","Meals","Coffee","GBP","Y"
2026-01-21,"LYFT",12.82,"Chase Sapphire","Travel","Ground Transportation","EUR","N"
2026-01-10,"MCDONALDS",-244.46,"Chase Sapphire","Meals","Restaurant","USD","Y"
2026-01-11,"DELTA AIR LINES",-196.18,"Chase Sapphire","Travel","Airfare","EUR","Y"
2026-01-30,"EXXON",-110.32,"Chase Sapphire","Travel","Fuel","USD","Y"
2026-01-08,"AVIS",-216.55,"Chase Sapphire","Travel","Car Rental","BRL","Y"
2026-01-29,"SHELL",-135.41,"Chase Sapphire","Travel","Fuel","EUR","Y"
2026-01-02,"MCDONALDS",-155.71,"Chase Sapphire","Meals","Restaurant","EUR","Y"
2026-01-28,"HUDSON NEWS",-243.15,"Chase Sapphire","Meals","Snacks","EUR","Y"
2026-01-23,"SHELL",-50.23,"Chase Sapphire","Travel","Fuel","EUR","Y"
2026-01-21,"HILTON",-48.44,"Chase Sapphire","Lodging","Hotel","CAD","Y"
2026-01-14,"HERTZ",-27.1,"Chase Sapphire","Travel","Car Rental","EUR","Y"
2026-01-04,"AVIS",2.16,"Chase Sapphire","Travel","Car Rental","EUR","Y"
2026-01-25,"HERTZ",-210.76,"Chase Sapphire","Travel","Car Rental","BRL","Y"
2026-01-26,"UNITED AIRLINES",-205.74,"Chase Sapphire","Travel","Airfare","AUD","Y"
2026-01-18,"STARBUCKS",-118.65,"Chase Sapphire","Meals","Coffee","BRL","Y"
2026-01-12,"DELTA AIR LINES",-74.39,"Chase Sapphire","Travel","Airfare","BRL","Y"
2026-01-04,"HERTZ",-190.76,"Chase Sapphire","Travel","Car Rental","CAD","N"
2026-01-29,"EXPEDIA",-200.8,"Chase Sapphire","Travel","Booking Fees","EUR","Y"
