"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-03-25,"HERTZ",-364.18,"Chase Sapphire","Travel","Car Rental","EUR","Y"
2026-03-05,"HERTZ",-122.46,"Chase Sapphire","Travel","Car Rental","CAD","Y"
2026-03-01,"HERTZ",1.79,"Chase Sapphire","Travel","Car Rental","USD","N"
2026-03-20,"AVIS",-235.69,"Chase Sapphire","Travel","Car Rental","USD","N"
2026-03-12,"SHELL",-330.28,"Chase Sapphire","Travel","Fuel","USD","Y"
2026-03-20,"LYFT",-74.78,"Chase Sapphire","Travel","Ground Transportation","GBP","Y"
2026-03-31,"MARRIOTT",-255.43,"Chase Sapphire","Lodging","Hotel","EUR","Y"
2026-03-13,"SHELL",-215.75,"Chase Sapphire","Travel","Fuel","USD","Y"
2026-03-30,"MCDONALDS",-76.77,"Chase Sapphire","Meals","Restaurant","EUR","Y"
2026-03-02,"HERTZ",-68.4,"Chase Sapphire","Travel","Car Rental","BRL","N"
2026-03-10,"EXXON",-188.11,"Chase Sapphire","Travel","Fuel","USD","N"
2026-03-30,"HILTON",0.31,"Chase Sapphire","Lodging","Hotel","BRL","Y"
2026-03-05,"DELTA AIR LINES",-197.93,"Chase Sapphire","Travel","Airfare","CAD","Y"
2026-03-03,"MCDONALDS",-52.47,"Chase Sapphire","Meals","Restaurant","GBP","Y"
2026-03-05,"DELTA AIR LINES",140.35,"Chase Sapphire","Travel","Airfare","EUR","Y"
2026-03-13,"HUDSON NEWS",-3.87,"Chase Sapphire","Meals","Snacks","AUD","Y"
2026-03-13,"HILTON",-35.61,"Chase Sapphire","Lodging","Hotel","CAD","Y"
2026-03-15,"UBER",-132.71,"Chase Sapphire","Travel","Ground Transportation","CAD","Y"
2026-03-06,"MARRIOTT",-184,"Chase Sapphire","Lodging","Hotel","GBP","Y"
2026-03-01,"BOOKING.COM",-24.54,"Chase Sapphire","Travel","Booking Fees","EUR","Y"
2026-03-10,"HUDSON NEWS",-175.15,"Chase Sapphire","Meals","Snacks","USD","N"
2026-03-23,"EXXON",-78.33,"Chase Sapphire","Travel","Fuel","GBP","Y"
2026-03-18,"AVIS",339.79,"Chase Sapphire","Travel","Car Rental","EUR","Y"
2026-03-25,"DELTA AIR LINES",-103.02,"Chase Sapphire","Travel","Airfare","USD","Y"
2026-03-11,"LYFT",-257.53,"Chase Sapphire","Travel","Ground Transportation","USD","Y"
2026-03-20,"UBER",-52.9,"Chase Sapphire","Travel","Ground Transportation","BRL","N"
2026-03-18,"EXPEDIA",53.87,"Chase Sapphire","Travel","Booking Fees","GBP","Y"
2026-03-15,"HUDSON NEWS",-335.52,"Chase Sapphire","Meals","Snacks","EUR","Y"
2026-03-26,"STARBUCKS",-27.29,"Chase Sapphire","Meals","Coffee","GBP","Y"
2026-03-07,"AVIS",-180,"Chase Sapphire","Travel","Car Rental","BRL","Y"
