"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-02-02,"HERTZ",-48.89,"American Express","Travel","Car Rental","GBP","Y"
2026-02-19,"EXXON",-215.23,"American Express","Travel","Fuel","BRL","Y"
2026-02-20,"EXXON",-18.84,"American Express","Travel","Fuel","AUD","N"
2026-02-01,"HILTON",-272.7,"American Express","Lodging","Hotel","EUR","Y"
2026-02-17,"DELTA AIR LINES",-109.42,"American Express","Travel","Airfare","CAD","Y"
2026-02-04,"HUDSON NEWS",354.82,"American Express","Meals","Snacks","EUR","Y"
2026-02-22,"DELTA AIR LINES",-120.43,"American Express","Travel","Airfare","GBP","Y"
2026-02-04,"UNITED AIRLINES",-338.16,"American Express","Travel","Airfare","EUR","Y"
2026-02-22,"UNITED AIRLINES",-177.78,"American Express","Travel","Airfare","CAD","Y"
2026-02-14,"HERTZ",360.89,"American Express","Travel","Car Rental","GBP","Y"
2026-02-25,"HILTON",-226.75,"American Express","Lodging","Hotel","AUD","Y"
2026-02-20,"STARBUCKS",-243.14,"American Express","Meals","Coffee","CAD","Y"
2026-02-04,"EXPEDIA",-83.43,"American Express","Travel","Booking Fees","USD","Y"
2026-02-22,"DELTA AIR LINES",-219.85,"American Express","Travel","Airfare","USD","Y"
2026-02-10,"UBER",-242.23,"American Express","Travel","Ground Transportation","BRL","Y"
2026-02-18,"EXXON",-3.42,"American Express","Travel","Fuel","CAD","Y"
2026-02-14,"EXXON",50.3,"American Express","Travel","Fuel","BRL","Y"
2026-02-24,"UNITED AIRLINES",-18.78,"American Express","Travel","Airfare","EUR","Y"
2026-02-01,"SHELL",-328.95,"American Express","Travel","Fuel","CAD","Y"
2026-02-26,"BOOKING.COM",3.2,"American Express","Travel","Booking Fees","AUD","N"
2026-02-24,"SHELL",-297.42,"American Express","Travel","Fuel","BRL","Y"
2026-02-21,"HERTZ",-158.63,"American Express","Travel","Car Rental","EUR","Y"
2026-02-04,"MCDONALDS",-61.87,"American Express","Meals","Restaurant","EUR","Y"
2026-02-08,"DELTA AIR LINES",-175.67,"American Express","Travel","Airfare","USD","Y"
2026-02-26,"DELTA AIR LINES",-168.05,"American Express","Travel","Airfare","BRL","Y"
2026-02-16,"AVIS",-134.95,"American Express","Travel","Car Rental","USD","Y"
2026-02-28,"HILTON",-98.66,"American Express","Lodging","Hotel","USD","Y"
2026-02-18,"EXPEDIA",-100.64,"American Express","Travel","Booking Fees","USD","Y"
2026-02-22,"DELTA AIR LINES",-357.16,"American Express","Travel","Airfare","GBP","N"
2026-02-02,"UBER",-171.08,"American Express","Travel","Ground Transportation","USD","Y"
