"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-03-04,"UNITED AIRLINES",93.35,"American Express","Travel","Airfare","BRL","Y"
2026-03-16,"LYFT",-186.11,"American Express","Travel","Ground Transportation","BRL","Y"
2026-03-21,"MARRIOTT",-175.6,"American Express","Lodging","Hotel","BRL","N"
2026-03-23,"HERTZ",119.61,"American Express","Travel","Car Rental","BRL","N"
2026-03-30,"LYFT",-320.41,"American Express","Travel","Ground Transportation","CAD","Y"
2026-03-16,"DELTA AIR LINES",-370.25,"American Express","Travel","Airfare","GBP","N"
2026-03-23,"AVIS",66.81,"American Express","Travel","Car Rental","EUR","Y"
2026-03-29,"SHELL",-219,"American Express","Travel","Fuel","USD","Y"
2026-03-26,"BOOKING.COM",-204.95,"American Express","Travel","Booking Fees","CAD","Y"
2026-03-26,"MARRIOTT",-269.15,"American Express","Lodging","Hotel","USD","Y"
2026-03-26,"DELTA AIR LINES",-132.71,"American Express","Travel","Airfare","USD","Y"
2026-03-02,"EXPEDIA",-79.06,"American Express","Travel","Booking Fees","GBP","Y"
2026-03-15,"EXPEDIA",-177.43,"American Express","Travel","Booking Fees","EUR","Y"
2026-03-14,"UNITED AIRLINES",-148.24,"American Express","Travel","Airfare","AUD","Y"
2026-03-18,"DELTA AIR LINES",-35.83,"American Express","Travel","Airfare","BRL","Y"
2026-03-12,"HILTON",-151.29,"American Express","Lodging","Hotel","CAD","Y"
2026-03-16,"MCDONALDS",-217.36,"American Express","Meals","Restaurant","USD","N"
2026-03-28,"STARBUCKS",-157.27,"American Express","Meals","Coffee","EUR","Y"
2026-03-26,"AVIS",-251.08,"American Express","Travel","Car Rental","GBP","Y"
2026-03-12,"BOOKING.COM",-137.77,"American Express","Travel","Booking Fees","CAD","Y"
2026-03-29,"UNITED AIRLINES",257.75,"American Express","Travel","Airfare","USD","Y"
2026-03-18,"BOOKING.COM",17.27,"American Express","Travel","Booking Fees","CAD","Y"
2026-03-13,"EXXON",-448.38,"American Express","Travel","Fuel","AUD","Y"
2026-03-16,"BOOKING.COM",-101.84,"American Express","Travel","Booking Fees","BRL","Y"
2026-03-28,"HILTON",-208.56,"American Express","Lodging","Hotel","EUR","Y"
2026-03-15,"UBER",88.46,"American Express","Travel","Ground Transportation","EUR","N"
2026-03-21,"HERTZ",-178.14,"American Express","Travel","Car Rental","GBP","Y"
2026-03-16,"BOOKING.COM",-92.18,"American Express","Travel","Booking Fees","BRL","Y"
2026-03-01,"LYFT",-103.57,"American Express","Travel","Ground Transportation","AUD","Y"
2026-03-06,"UBER",-120.28,"American Express","Travel","Ground Transportation","USD","N"
