"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-02-12,"LYFT",-216.58,"Citi Platinum","Travel","Ground Transportation","AUD","Y"
2026-02-11,"DELTA AIR LINES",-86.13,"Citi Platinum","Travel","Airfare","AUD","Y"
2026-02-01,"EXXON",-100.11,"Citi Platinum","Travel","Fuel","AUD","Y"
2026-02-08,"MARRIOTT",-53.18,"Citi Platinum","Lodging","Hotel","GBP","N"
2026-02-26,"MARRIOTT",0.33,"Citi Platinum","Lodging","Hotel","GBP","Y"
2026-02-18,"BOOKING.COM",-57.62,"Citi Platinum","Travel","Booking Fees","USD","N"
2026-02-03,"DELTA AIR LINES",-279.32,"Citi Platinum","Travel","Airfare","BRL","Y"
2026-02-17,"DELTA AIR LINES",-131.55,"Citi Platinum","Travel","Airfare","CAD","Y"
2026-02-07,"UNITED AIRLINES",-197.89,"Citi Platinum","Travel","Airfare","USD","Y"
2026-02-15,"HUDSON NEWS",-150.7,"Citi Platinum","Meals","Snacks","GBP","Y"
2026-02-21,"EXPEDIA",-39.92,"Citi Platinum","Travel","Booking Fees","USD","N"
2026-02-26,"BOOKING.COM",-116.86,"Citi Platinum","Travel","Booking Fees","CAD","Y"
2026-02-13,"AVIS",-131.38,"Citi Platinum","Travel","Car Rental","BRL","Y"
2026-02-21,"HUDSON NEWS",-164.41,"Citi Platinum","Meals","Snacks","CAD","Y"
2026-02-07,"BOOKING.COM",-102.36,"Citi Platinum","Travel","Booking Fees","EUR","N"
2026-02-09,"DELTA AIR LINES",-291.44,"Citi Platinum","Travel","Airfare","EUR","Y"
2026-02-21,"EXPEDIA",-200.59,"Citi Platinum","Travel","Booking Fees","GBP","Y"
2026-02-18,"HUDSON NEWS",43.99,"Citi Platinum","Meals","Snacks","EUR","Y"
2026-02-25,"HUDSON NEWS",76.07,"Citi Platinum","Meals","Snacks","EUR","Y"
2026-02-24,"EXXON",-265.42,"Citi Platinum","Travel","Fuel","USD","Y"
2026-02-26,"EXXON",-297.43,"Citi Platinum","Travel","Fuel","GBP","N"
2026-02-11,"BOOKING.COM",-265.12,"Citi Platinum","Travel","Booking Fees","EUR","Y"
2026-02-16,"MARRIOTT",-80.38,"Citi Platinum","Lodging","Hotel","EUR","Y"
2026-02-26,"HERTZ",-98.02,"Citi Platinum","Travel","Car Rental","BRL","Y"
2026-02-01,"UNITED AIRLINES",-218.23,"Citi Platinum","Travel","Airfare","CAD","Y"
2026-02-26,"UNITED AIRLINES",-194.24,"Citi Platinum","Travel","Airfare","USD","Y"
2026-02-11,"UNITED AIRLINES",-32.61,"Citi Platinum","Travel","Airfare","GBP","Y"
2026-02-04,"LYFT",186.85,"Citi Platinum","Travel","Ground Transportation","CAD","Y"
2026-02-12,"BOOKING.COM",-157.01,"Citi Platinum","Travel","Booking Fees","GBP","Y"
2026-02-07,"HUDSON NEWS",-107.7,"Citi Platinum","Meals","Snacks","EUR","Y"
