"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-02-21,"UNITED AIRLINES",-330.52,"American Express","Travel","Airfare","EUR","Y"
2026-02-10,"LYFT",16.86,"American Express","Travel","Ground Transportation","USD","Y"
2026-02-14,"EXPEDIA",123.92,"American Express","Travel","Booking Fees","USD","Y"
2026-02-15,"UBER",-202.94,"American Express","Travel","Ground Transportation","AUD","Y"
2026-02-13,"EXXON",87.74,"American Express","Travel","Fuel","EUR","Y"
2026-02-05,"AVIS",96.46,"American Express","Travel","Car Rental","USD","Y"
2026-02-17,"UNITED AIRLINES",-255.85,"American Express","Travel","Airfare","USD","Y"
2026-02-21,"BOOKING.COM",-144.34,"American Express","Travel","Booking Fees","BRL","Y"
2026-02-23,"AVIS",127.04,"American Express","Travel","Car Rental","GBP","Y"
2026-02-21,"UNITED AIRLINES",-261.03,"American Express","Travel","Airfare","AUD","Y"
2026-02-13,"HERTZ",-35.34,"American Express","Travel","Car Rental","USD","N"
2026-02-10,"SHELL",-93.18,"American Express","Travel","Fuel","EUR","Y"
2026-02-21,"UNITED AIRLINES",-193.58,"American Express","Travel","Airfare","EUR","Y"
2026-02-25,"MCDONALDS",-106.58,"American Express","Meals","Restaurant","EUR","Y"
2026-02-11,"MCDONALDS",-189.86,"American Express","Meals","Restaurant","AUD","Y"
2026-02-14,"HILTON",-58.75,"American Express","Lodging","Hotel","USD","Y"
2026-02-21,"UBER",-211.15,"American Express","Travel","Ground Transportation","CAD","Y"
2026-02-10,"EXXON",-360.86,"American Express","Travel","Fuel","CAD","Y"
2026-02-13,"HERTZ",-52.42,"American Express","Travel","Car Rental","USD","Y"
2026-02-16,"EXPEDIA",-14.12,"American Express","Travel","Booking Fees","GBP","Y"
2026-02-18,"LYFT",-136.62,"American Express","Travel","Ground Transportation","CAD","Y"
2026-02-03,"HUDSON NEWS",-249.62,"American Express","Meals","Snacks","USD","Y"
2026-02-28,"SHELL",-207.91,"American Express","Travel","Fuel","CAD","Y"
2026-02-03,"AVIS",308.06,"American Express","Travel","Car Rental","BRL","Y"
2026-02-10,"UNITED AIRLINES",-316.49,"American Express","Travel","Airfare","CAD","Y"
2026-02-10,"BOOKING.COM",-14.11,"American Express","Travel","Booking Fees","GBP","Y"
2026-02-07,"EXPEDIA",-397.02,"American Express","Travel","Booking Fees","EUR","Y"
2026-02-22,"HUDSON NEWS",-82.96,"American Express","Meals","Snacks","GBP","N"
2026-02-09,"EXPEDIA",-196.1,"American Express","Travel","Booking Fees","BRL","Y"
2026-02-27,"DELTA AIR LINES",-309.08,"American Express","Travel","Airfare","GBP","Y"
