"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-01-10,"HUDSON NEWS",-83.44,"American Express","Meals","Snacks","AUD","Y"
2026-01-29,"UBER",-220.76,"American Express","Travel","Ground Transportation","GBP","Y"
2026-01-30,"SHELL",19.15,"American Express","Travel","Fuel","GBP","Y"
2026-01-05,"LYFT",-185.69,"American Express","Travel","Ground Transportation","GBP","N"
2026-01-26,"EXXON",-79.52,"American Express","Travel","Fuel","USD","Y"
2026-01-20,"AVIS",-148.36,"American Express","Travel","Car Rental","CAD","Y"
2026-01-19,"DELTA AIR LINES",-92.51,"American Express","Travel","Airfare","BRL","Y"
2026-01-06,"EXXON",-202.97,"American Express","Travel","Fuel","EUR","Y"
2026-01-31,"EXXON",-0.72,"American Express","Travel","Fuel","CAD","N"
2026-01-12,"LYFT",-212.12,"American Express","Travel","Ground Transportation","BRL","Y"
2026-01-05,"UNITED AIRLINES",193.19,"American Express","Travel","Airfare","GBP","Y"
2026-01-20,"MARRIOTT",-169.41,"American Express","Lodging","Hotel","BRL","Y"
2026-01-29,"HUDSON NEWS",-134.86,"American Express","Meals","Snacks","BRL","N"
2026-01-02,"STARBUCKS",-224.42,"American Express","Meals","Coffee","GBP","Y"
2026-01-27,"HERTZ",-62.04,"American Express","Travel","Car Rental","BRL","Y"
2026-01-15,"AVIS",127.33,"American Express","Travel","Car Rental","EUR","Y"
2026-01-07,"DELTA AIR LINES",-73.76,"American Express","Travel","Airfare","AUD","N"
2026-01-14,"HUDSON NEWS",-64.42,"American Express","Meals","Snacks","USD","Y"
2026-01-15,"MCDONALDS",-242.27,"American Express","Meals","Restaurant","USD","Y"
2026-01-15,"MARRIOTT",-50.9,"American Express","Lodging","Hotel","EUR","Y"
2026-01-03,"UNITED AIRLINES",-292.79,"American Express","Travel","Airfare","CAD","Y"
2026-01-17,"EXXON",-131.6,"American Express","Travel","Fuel","AUD","Y"
2026-01-15,"UNITED AIRLINES",-40.49,"American Express","Travel","Airfare","USD","N"
2026-01-02,"EXXON",-340.98,"American Express","Travel","Fuel","EUR","N"
2026-01-02,"LYFT",-202.97,"American Express","Travel","Ground Transportation","GBP","N"
2026-01-07,"EXXON",-198.36,"American Express","Travel","Fuel","BRL","Y"
2026-01-29,"STARBUCKS",-397.48,"American Express","Meals","Coffee","GBP","Y"
2026-01-03,"MCDONALDS",-174.31,"American Express","Meals","Restaurant","CAD","Y"
2026-01-15,"EXXON",18.91,"American Express","Travel","Fuel","AUD","Y"
2026-01-23,"UBER",-318.89,"American Express","Travel","Ground Transportation","USD","N"
