"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-03-03,"AVIS",-199.2,"American Express","Travel","Car Rental","BRL","Y"
2026-03-04,"UNITED AIRLINES",-213.67,"American Express","Travel","Airfare","CAD","Y"
2026-03-29,"AVIS",-44.29,"American Express","Travel","Car Rental","EUR","Y"
2026-03-15,"MCDONALDS",-150.94,"American Express","Meals","Restaurant","BRL","N"
2026-03-17,"HUDSON NEWS",87.98,"American Express","Meals","Snacks","EUR","Y"
2026-03-23,"DELTA AIR LINES",-387.57,"American Express","Travel","Airfare","GBP","Y"
2026-03-01,"UNITED AIRLINES",-21.23,"American Express","Travel","Airfare","EUR","N"
2026-03-31,"MARRIOTT",-124.43,"American Express","Lodging","Hotel","GBP","Y"
2026-03-11,"HUDSON NEWS",-297.31,"American Express","Meals","Snacks","AUD","Y"
2026-03-31,"HUDSON NEWS",-126.59,"American Express","Meals","Snacks","USD","Y"
2026-03-11,"DELTA AIR LINES",-123.81,"American Express","Travel","Airfare","AUD","N"
2026-03-10,"HERTZ",-175.7,"American Express","Travel","Car Rental","AUD","Y"
2026-03-03,"EXXON",146.06,"American Express","Travel","Fuel","EUR","Y"
2026-03-15,"BOOKING.COM",-0.66,"American Express","Travel","Booking Fees","EUR","Y"
2026-03-17,"UBER",-103.45,"American Express","Travel","Ground Transportation","AUD","Y"
2026-03-27,"DELTA AIR LINES",-278.81,"American Express","Travel","Airfare","EUR","Y"
2026-03-17,"UBER",-248.31,"American Express","Travel","Ground Transportation","CAD","N"
2026-03-29,"EXXON",-414.35,"American Express","Travel","Fuel","GBP","Y"
2026-03-25,"UBER",-77.42,"American Express","Travel","Ground Transportation","BRL","Y"
2026-03-02,"UBER",-189.29,"American Express","Travel","Ground Transportation","EUR","Y"
2026-03-11,"SHELL",-108.9,"American Express","Travel","Fuel","AUD","Y"
2026-03-04,"MCDONALDS",-122.56,"American Express","Meals","Restaurant","USD","N"
2026-03-07,"EXPEDIA",-228.24,"American Express","Travel","Booking Fees","EUR","Y"
2026-03-20,"UNITED AIRLINES",-161.87,"American Express","Travel","Airfare","USD","Y"
2026-03-26,"HILTON",-35.51,"American Express","Lodging","Hotel","GBP","Y"
2026-03-15,"AVIS",-203.56,"American Express","Travel","Car Rental","USD","Y"
2026-03-24,"HILTON",113.14,"American Express","Lodging","Hotel","AUD","N"
2026-03-09,"UNITED AIRLINES",-144.03,"American Express","Travel","Airfare","BRL","Y"
2026-03-15,"SHELL",-408.95,"American Express","Travel","Fuel","GBP","N"
2026-03-25,"UNITED AIRLINES",-313.47,"American Express","Travel","Airfare","AUD","Y"
