"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-02-18,"HILTON",-79.26,"Chase Sapphire","Lodging","Hotel","GBP","N"
2026-02-09,"UBER",-50.13,"Chase Sapphire","Travel","Ground Transportation","EUR","Y"
2026-02-26,"AVIS",-101.03,"Chase Sapphire","Travel","Car Rental","CAD","N"
2026-02-21,"EXPEDIA",-132.04,"Chase Sapphire","Travel","Booking Fees","CAD","Y"
2026-02-26,"MARRIOTT",-169.29,"Chase Sapphire","Lodging","Hotel","CAD","Y"
2026-02-10,"AVIS",-195.6,"Chase Sapphire","Travel","Car Rental","USD","N"
2026-02-22,"HERTZ",59.74,"Chase Sapphire","Travel","Car Rental","BRL","Y"
2026-02-16,"DELTA AIR LINES",-173.4,"Chase Sapphire","Travel","Airfare","GBP","Y"
2026-02-16,"LYFT",-201.89,"Chase Sapphire","Travel","Ground Transportation","EUR","Y"
2026-02-01,"AVIS",-128.48,"Chase Sapphire","Travel","Car Rental","GBP","Y"
2026-02-01,"MCDONALDS",-267.34,"Chase Sapphire","Meals","Restaurant","GBP","Y"
2026-02-04,"STARBUCKS",235.84,"Chase Sapphire","Meals","Coffee","BRL","Y"
2026-02-26,"EXPEDIA",-77.58,"Chase Sapphire","Travel","Booking Fees","GBP","Y"
2026-02-23,"HERTZ",-302.76,"Chase Sapphire","Travel","Car Rental","GBP","N"
2026-02-04,"UNITED AIRLINES",-281.56,"Chase Sapphire","Travel","Airfare","BRL","Y"
2026-02-21,"EXPEDIA",-56.2,"Chase Sapphire","Travel","Booking Fees","EUR","Y"
2026-02-14,"EXXON",-0.22,"Chase Sapphire","Travel","Fuel","USD","Y"
2026-02-06,"BOOKING.COM",-328.62,"Chase Sapphire","Travel","Booking Fees","CAD","Y"
2026-02-25,"MARRIOTT",70.65,"Chase Sapphire","Lodging","Hotel","EUR","Y"
2026-02-09,"MARRIOTT",-79,"Chase Sapphire","Lodging","Hotel","AUD","Y"
2026-02-12,"LYFT",-153.42,"Chase Sapphire","Travel","Ground Transportation","AUD","N"
2026-02-18,"BOOKING.COM",-179.2,"Chase Sapphire","Travel","Booking Fees","AUD","N"
2026-02-11,"EXXON",-194.27,"Chase Sapphire","Travel","Fuel","CAD","Y"
2026-02-04,"UBER",72.59,"Chase Sapphire","Travel","Ground Transportation","CAD","N"
2026-02-10,"MARRIOTT",-35.78,"Chase Sapphire","Lodging","Hotel","EUR","Y"
2026-02-07,"UNITED AIRLINES",-56.32,"Chase Sapphire","Travel","Airfare","AUD","Y"
2026-02-15,"STARBUCKS",-153.48,"Chase Sapphire","Meals","Coffee","CAD","Y"
2026-02-24,"AVIS",-60.63,"Chase Sapphire","Travel","Car Rental","USD","Y"
2026-02-11,"MARRIOTT",-61.73,"Chase Sapphire","Lodging","Hotel","USD","Y"
2026-02-28,"MARRIOTT",-78.88,"Chase Sapphire","Lodging","Hotel","GBP","Y"
