"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-03-14,"LYFT",-295.57,"Chase Sapphire","Travel","Ground Transportation","EUR","Y"
2026-03-07,"UNITED AIRLINES",-190.9,"Chase Sapphire","Travel","Airfare","CAD","Y"
2026-03-30,"BOOKING.COM",-246.31,"Chase Sapphire","Travel","Booking Fees","EUR","N"
2026-03-22,"DELTA AIR LINES",-77.69,"Chase Sapphire","Travel","Airfare","AUD","N"
2026-03-13,"STARBUCKS",-141.51,"Chase Sapphire","Meals","Coffee","CAD","N"
2026-03-19,"MARRIOTT",-273.96,"Chase Sapphire","Lodging","Hotel","CAD","Y"
2026-03-14,"MARRIOTT",-41.11,"Chase Sapphire","Lodging","Hotel","CAD","Y"
2026-03-27,"BOOKING.COM",-199.95,"Chase Sapphire","Travel","Booking Fees","AUD","Y"
2026-03-07,"AVIS",-281.58,"Chase Sapphire","Travel","Car Rental","EUR","Y"
2026-03-29,"AVIS",-132.08,"Chase Sapphire","Travel","Car Rental","GBP","Y"
2026-03-27,"LYFT",-300.47,"Chase Sapphire","Travel","Ground Transportation","GBP","Y"
2026-03-22,"BOOKING.COM",-181.73,"Chase Sapphire","Travel","Booking Fees","BRL","Y"
2026-03-13,"EXXON",-174.01,"Chase Sapphire","Travel","Fuel","EUR","Y"
2026-03-30,"SHELL",-322.53,"Chase Sapphire","Travel","Fuel","AUD","Y"
2026-03-01,"EXXON",105.32,"Chase Sapphire","Travel","Fuel","USD","N"
2026-03-14,"HILTON",-146.22,"Chase Sapphire","Lodging","Hotel","GBP","Y"
2026-03-09,"MARRIOTT",-146.73,"Chase Sapphire","Lodging","Hotel","AUD","Y"
2026-03-26,"EXXON",18.18,"Chase Sapphire","Travel","Fuel","GBP","N"
2026-03-22,"STARBUCKS",-24.37,"Chase Sapphire","Meals","Coffee","BRL","N"
2026-03-28,"BOOKING.COM",-356.06,"Chase Sapphire","Travel","Booking Fees","GBP","Y"
2026-03-24,"DELTA AIR LINES",-371.61,"Chase Sapphire","Travel","Airfare","AUD","Y"
2026-03-28,"AVIS",-358.04,"Chase Sapphire","Travel","Car Rental","AUD","Y"
2026-03-03,"MCDONALDS",-165.03,"Chase Sapphire","Meals","Restaurant","EUR","Y"
2026-03-06,"HUDSON NEWS",133.71,"Chase Sapphire","Meals","Snacks","USD","N"
2026-03-22,"SHELL",-257.77,"Chase Sapphire","Travel","Fuel","BRL","Y"
2026-03-25,"EXXON",-287.59,"Chase Sapphire","Travel","Fuel","USD","Y"
2026-03-24,"HERTZ",-163.28,"Chase Sapphire","Travel","Car Rental","CAD","Y"
2026-03-19,"LYFT",-140.55,"Chase Sapphire","Travel","Ground Transportation","AUD","Y"
2026-03-09,"STARBUCKS",-465.62,"Chase Sapphire","Meals","Coffee","USD","N"
2026-03-10,"HERTZ",-35.7,"Chase Sapphire","Travel","Car Rental","CAD","Y"
