"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-01-13,"UNITED AIRLINES",59.06,"American Express","Travel","Airfare","EUR","Y"
2026-01-03,"UBER",-122.04,"American Express","Travel","Ground Transportation","BRL","Y"
2026-01-06,"UBER",-231.16,"American Express","Travel","Ground Transportation","GBP","Y"
2026-01-04,"HILTON",-199.41,"American Express","Lodging","Hotel","CAD","Y"
2026-01-19,"SHELL",-156.33,"American Express","Travel","Fuel","BRL","Y"
2026-01-28,"MARRIOTT",271.51,"American Express","Lodging","Hotel","AUD","Y"
2026-01-17,"HILTON",152.96,"American Express","Lodging","Hotel","EUR","N"
2026-01-31,"STARBUCKS",-159.81,"American Express","Meals","Coffee","GBP","Y"
2026-01-26,"HUDSON NEWS",-176.23,"American Express","Meals","Snacks","BRL","Y"
2026-01-08,"MARRIOTT",-103.46,"American Express","Lodging","Hotel","GBP","Y"
2026-01-25,"UNITED AIRLINES",-158.45,"American Express","Travel","Airfare","GBP","Y"
2026-01-19,"UBER",-206.45,"American Express","Travel","Ground Transportation","EUR","Y"
2026-01-18,"HERTZ",-207.12,"American Express","Travel","Car Rental","GBP","Y"
2026-01-26,"EXXON",-216.67,"American Express","Travel","Fuel","BRL","Y"
2026-01-20,"UBER",-216.98,"American Express","Travel","Ground Transportation","CAD","N"
2026-01-11,"HUDSON NEWS",-212.19,"American Express","Meals","Snacks","GBP","Y"
2026-01-28,"UBER",-231.91,"American Express","Travel","Ground Transportation","CAD","Y"
2026-01-10,"AVIS",-257.09,"American Express","Travel","Car Rental","BRL","Y"
2026-01-15,"SHELL",-118.21,"American Express","Travel","Fuel","CAD","Y"
2026-01-28,"HILTON",-141.95,"American Express","Lodging","Hotel","BRL","Y"
2026-01-08,"LYFT",10.94,"American Express","Travel","Ground Transportation","EUR","Y"
2026-01-16,"BOOKING.COM",-268.77,"American Express","Travel","Booking Fees","BRL","Y"
2026-01-15,"MCDONALDS",-68.23,"American Express","Meals","Restaurant","BRL","Y"
2026-01-17,"AVIS",-227.28,"American Express","Travel","Car Rental","GBP","Y"
2026-01-12,"BOOKING.COM",-108.27,"American Express","Travel","Booking Fees","EUR","Y"
2026-01-08,"UBER",-371.89,"American Express","Travel","Ground Transportation","USD","Y"
2026-01-16,"EXXON",-247.91,"American Express","Travel","Fuel","USD","Y"
2026-01-17,"HILTON",2.3,"American Express","Lodging","Hotel","USD","Y"
2026-01-02,"SHELL",-43.52,"American Express","Travel","Fuel","CAD","N"
2026-01-01,"EXXON",-141.31,"American Express","Travel","Fuel","GBP","Y"
