"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-03-10,"LYFT",-165.72,"American Express","Travel","Ground Transportation","USD","N"
2026-03-27,"HUDSON NEWS",-276.41,"American Express","Meals","Snacks","BRL","Y"
2026-03-25,"HUDSON NEWS",-14.74,"American Express","Meals","Snacks","USD","Y"
2026-03-26,"AVIS",-237.34,"American Express","Travel","Car Rental","AUD","Y"
2026-03-27,"DELTA AIR LINES",-37.76,"American Express","Travel","Airfare","GBP","N"
2026-03-01,"STARBUCKS",-206.2,"American Express","Meals","Coffee","CAD","N"
2026-03-29,"UNITED AIRLINES",-134.42,"American Express","Travel","Airfare","BRL","N"
2026-03-02,"EXXON",25.48,"American Express","Travel","Fuel","USD","Y"
2026-03-26,"MARRIOTT",-231.86,"American Express","Lodging","Hotel","USD","Y"
2026-03-21,"AVIS",68.23,"American Express","Travel","Car Rental","CAD","Y"
2026-03-05,"UBER",-31.66,"American Express","Travel","Ground Transportation","AUD","Y"
2026-03-10,"BOOKING.COM",4.15,"American Express","Travel","Booking Fees","EUR","Y"
2026-03-18,"BOOKING.COM",-419.57,"American Express","Travel","Booking Fees","EUR","Y"
2026-03-27,"BOOKING.COM",-170.22,"American Express","Travel","Booking Fees","BRL","Y"
2026-03-05,"DELTA AIR LINES",-325.99,"American Express","Travel","Airfare","GBP","Y"
2026-03-08,"LYFT",58.89,"American Express","Travel","Ground Transportation","USD","Y"
2026-03-05,"DELTA AIR LINES",-3.27,"American Express","Travel","Airfare","AUD","Y"
2026-03-04,"MARRIOTT",-224.1,"American Express","Lodging","Hotel","GBP","N"
2026-03-06,"EXPEDIA",-211.41,"American Express","Travel","Booking Fees","GBP","Y"
2026-03-05,"LYFT",-344.59,"American Express","Travel","Ground Transportation","GBP","Y"
2026-03-25,"EXXON",-55.09,"American Express","Travel","Fuel","AUD","N"
2026-03-11,"HILTON",25.38,"American Express","Lodging","Hotel","EUR","N"
2026-03-18,"HUDSON NEWS",-353.99,"American Express","Meals","Snacks","EUR","Y"
2026-03-18,"SHELL",-367.5,"American Express","Travel","Fuel","GBP","Y"
2026-03-17,"LYFT",-12.7,"American Express","Travel","Ground Transportation","EUR","Y"
2026-03-26,"SHELL",11.83,"American Express","Travel","Fuel","USD","Y"
2026-03-03,"MARRIOTT",-105.41,"American Express","Lodging","Hotel","BRL","Y"
2026-03-26,"HUDSON NEWS",-120.93,"American Express","Meals","Snacks","CAD","Y"
2026-03-19,"EXXON",-224.55,"American Express","Travel","Fuel","GBP","Y"
2026-03-24,"AVIS",-109.32,"American Express","Travel","Car Rental","BRL","Y"
