"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-01-17,"SHELL",-179.76,"Citi Platinum","Travel","Fuel","USD","Y"
2026-01-02,"MARRIOTT",-252.19,"Citi Platinum","Lodging","Hotel","AUD","Y"
2026-01-13,"AVIS",-85.83,"Citi Platinum","Travel","Car Rental","USD","N"
2026-01-13,"UNITED AIRLINES",-94.58,"Citi Platinum","Travel","Airfare","AUD","Y"
2026-01-16,"MARRIOTT",-227.54,"Citi Platinum","Lodging","Hotel","GBP","Y"
2026-01-08,"UBER",-217.84,"Citi Platinum","Travel","Ground Transportation","CAD","Y"
2026-01-22,"STARBUCKS",-106.95,"Citi Platinum","Meals","Coffee","GBP","Y"
2026-01-08,"STARBUCKS",-68.79,"Citi Platinum","Meals","Coffee","BRL","Y"
2026-01-26,"AVIS",-15.84,"Citi Platinum","Travel","Car Rental","CAD","Y"
2026-01-01,"HERTZ",-42.46,"Citi Platinum","Travel","Car Rental","USD","Y"
2026-01-27,"EXPEDIA",71.67,"Citi Platinum","Travel","Booking Fees","CAD","Y"
2026-01-16,"MARRIOTT",-293.77,"Citi Platinum","Lodging","Hotel","BRL","Y"
2026-01-29,"EXPEDIA",-101.93,"Citi Platinum","Travel","Booking Fees","AUD","Y"
2026-01-11,"HILTON",104.66,"Citi Platinum","Lodging","Hotel","USD","Y"
2026-01-15,"HILTON",71.32,"Citi Platinum","Lodging","Hotel","EUR","Y"
2026-01-21,"DELTA AIR LINES",-209.58,"Citi Platinum","Travel","Airfare","EUR","Y"
2026-01-18,"STARBUCKS",-120.88,"Citi Platinum","Meals","Coffee","USD","Y"
2026-01-01,"EXPEDIA",-106.24,"Citi Platinum","Travel","Booking Fees","AUD","N"
2026-01-30,"HERTZ",145.94,"Citi Platinum","Travel","Car Rental","EUR","Y"
2026-01-15,"EXXON",-260.58,"Citi Platinum","Travel","Fuel","BRL","Y"
2026-01-15,"MARRIOTT",-200.73,"Citi Platinum","Lodging","Hotel","AUD","N"
2026-01-19,"LYFT",-9.98,"Citi Platinum","Travel","Ground Transportation","EUR","Y"
2026-01-30,"BOOKING.COM",94.98,"Citi Platinum","Travel","Booking Fees","BRL","Y"
2026-01-27,"STARBUCKS",-114.57,"Citi Platinum","Meals","Coffee","CAD","Y"
2026-01-03,"UNITED AIRLINES",-299.23,"Citi Platinum","Travel","Airfare","USD","Y"
2026-01-22,"EXXON",-519.22,"Citi Platinum","Travel","Fuel","USD","Y"
2026-01-13,"BOOKING.COM",-138.11,"Citi Platinum","Travel","Booking Fees","AUD","Y"
2026-01-31,"SHELL",200.17,"Citi Platinum","Travel","Fuel","AUD","Y"
2026-01-01,"LYFT",-248.9,"Citi Platinum","Travel","Ground Transportation","AUD","N"
2026-01-13,"HILTON",-352.97,"Citi Platinum","Lodging","Hotel","BRL","Y"
