"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-03-23,"STARBUCKS",-225.85,"Citi Platinum","Meals","Coffee","EUR","Y"
2026-03-13,"BOOKING.COM",-164.77,"Citi Platinum","Travel","Booking Fees","BRL","Y"
2026-03-27,"UBER",122.49,"Citi Platinum","Travel","Ground Transportation","AUD","Y"
2026-03-29,"MCDONALDS",-304.07,"Citi Platinum","Meals","Restaurant","BRL","Y"
2026-03-22,"HUDSON NEWS",-111.93,"Citi Platinum","Meals","Snacks","GBP","N"
2026-03-07,"STARBUCKS",100.72,"Citi Platinum","Meals","Coffee","USD","Y"
2026-03-21,"EXPEDIA",-203.87,"Citi Platinum","Travel","Booking Fees","USD","Y"
2026-03-24,"LYFT",-235.16,"Citi Platinum","Travel","Ground Transportation","AUD","N"
2026-03-02,"MARRIOTT",-324.86,"Citi Platinum","Lodging","Hotel","BRL","Y"
2026-03-15,"SHELL",-320.11,"Citi Platinum","Travel","Fuel","AUD","Y"
2026-03-04,"BOOKING.COM",-181.68,"Citi Platinum","Travel","Booking Fees","USD","Y"
2026-03-30,"BOOKING.COM",0.33,"Citi Platinum","Travel","Booking Fees","CAD","N"
2026-03-29,"HUDSON NEWS",-143.56,"Citi Platinum","Meals","Snacks","GBP","Y"
2026-03-17,"MARRIOTT",35.49,"Citi Platinum","Lodging","Hotel","BRL","Y"
2026-03-30,"DELTA AIR LINES",-222.27,"Citi Platinum","Travel","Airfare","CAD","Y"
2026-03-18,"MARRIOTT",-80.57,"Citi Platinum","Lodging","Hotel","GBP","Y"
2026-03-15,"STARBUCKS",-135.07,"Citi Platinum","Meals","Coffee","USD","Y"
2026-03-25,"MCDONALDS",-106.48,"Citi Platinum","Meals","Restaurant","EUR","Y"
2026-03-27,"LYFT",-125.35,"Citi Platinum","Travel","Ground Transportation","USD","Y"
2026-03-21,"DELTA AIR LINES",-56.67,"Citi Platinum","Travel","Airfare","EUR","N"
2026-03-23,"EXXON",-150.93,"Citi Platinum","Travel","Fuel","GBP","N"
2026-03-30,"UNITED AIRLINES",-33.78,"Citi Platinum","Travel","Airfare","BRL","Y"
2026-03-20,"EXPEDIA",-91.18,"Citi Platinum","Travel","Booking Fees","USD","Y"
2026-03-16,"MARRIOTT",-151.14,"Citi Platinum","Lodging","Hotel","BRL","Y"
2026-03-17,"HILTON",-163.54,"Citi Platinum","Lodging","Hotel","CAD","N"
2026-03-08,"EXXON",-303.2,"Citi Platinum","Travel","Fuel","AUD","Y"
2026-03-06,"LYFT",-227.83,"Citi Platinum","Travel","Ground Transportation","USD","Y"
2026-03-10,"SHELL",-181.6,"Citi Platinum","Travel","Fuel","BRL","Y"
2026-03-20,"HUDSON NEWS",-37.72,"Citi Platinum","Meals","Snacks","EUR","Y"
2026-03-11,"EXXON",-55.04,"Citi Platinum","Travel","Fuel","USD","N"
