"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-01-30,"BOOKING.COM",-221.95,"American Express","Travel","Booking Fees","AUD","Y"
2026-01-19,"BOOKING.COM",-165.53,"American Express","Travel","Booking Fees","EUR","Y"
2026-01-04,"MARRIOTT",43.59,"American Express","Lodging","Hotel","CAD","Y"
2026-01-14,"EXPEDIA",-168.17,"American Express","Travel","Booking Fees","CAD","Y"
2026-01-17,"MARRIOTT",-110.43,"American Express","Lodging","Hotel","GBP","N"
2026-01-11,"STARBUCKS",-537.28,"American Express","Meals","Coffee","EUR","Y"
2026-01-07,"UNITED AIRLINES",-242.62,"American Express","Travel","Airfare","EUR","Y"
2026-01-21,"LYFT",-115.61,"American Express","Travel","Ground Transportation","EUR","Y"
2026-01-12,"MCDONALDS",-296.46,"American Express","Meals","Restaurant","BRL","Y"
2026-01-15,"UBER",-97.85,"American Express","Travel","Ground Transportation","EUR","Y"
2026-01-10,"HILTON",-53.98,"American Express","Lodging","Hotel","EUR","N"
2026-01-13,"EXPEDIA",-169.67,"American Express","Travel","Booking Fees","AUD","Y"
2026-01-07,"LYFT",-0.85,"American Express","Travel","Ground Transportation","BRL","N"
2026-01-09,"HUDSON NEWS",-262.13,"American Express","Meals","Snacks","BRL","Y"
2026-01-09,"STARBUCKS",-102.75,"American Express","Meals","Coffee","AUD","Y"
2026-01-10,"MCDONALDS",-101.56,"American Express","Meals","Restaurant","USD","Y"
2026-01-23,"UBER",-256.37,"American Express","Travel","Ground Transportation","AUD","Y"
2026-01-27,"MARRIOTT",-308.27,"American Express","Lodging","Hotel","AUD","Y"
2026-01-28,"MCDONALDS",-146.54,"American Express","Meals","Restaurant","AUD","Y"
2026-01-21,"HUDSON NEWS",-201.86,"American Express","Meals","Snacks","GBP","Y"
2026-01-07,"HERTZ",52.78,"American Express","Travel","Car Rental","AUD","N"
2026-01-21,"HUDSON NEWS",-2.59,"American Express","Meals","Snacks","GBP","N"
2026-01-27,"HUDSON NEWS",116.88,"American Express","Meals","Snacks","AUD","Y"
2026-01-06,"AVIS",-275.88,"American Express","Travel","Car Rental","USD","Y"
2026-01-25,"MARRIOTT",-212.5,"American Express","Lodging","Hotel","GBP","N"
2026-01-02,"EXXON",44.78,"American Express","Travel","Fuel","CAD","Y"
2026-01-29,"STARBUCKS",-278.41,"American Express","Meals","Coffee","EUR","N"
2026-01-05,"SHELL",52.31,"American Express","Travel","Fuel","AUD","Y"
2026-01-08,"STARBUCKS",-179,"American Express","Meals","Coffee","AUD","Y"
2026-01-12,"HUDSON NEWS",-206.18,"American Express","Meals","Snacks","GBP","Y"
