"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-03-21,"BOOKING.COM",84.64,"American Express","Travel","Booking Fees","EUR","Y"
2026-03-17,"UNITED AIRLINES",-160.84,"American Express","Travel","Airfare","USD","Y"
2026-03-31,"BOOKING.COM",-124.26,"American Express","Travel","Booking Fees","BRL","Y"
2026-03-12,"SHELL",-238.62,"American Express","Travel","Fuel","GBP","Y"
2026-03-30,"MARRIOTT",-218.93,"American Express","Lodging","Hotel","USD","Y"
2026-03-03,"HUDSON NEWS",-308.04,"American Express","Meals","Snacks","CAD","N"
2026-03-30,"AVIS",-171.95,"American Express","Travel","Car Rental","GBP","Y"
2026-03-25,"SHELL",-99.72,"American Express","Travel","Fuel","BRL","N"
2026-03-18,"EXPEDIA",-111.08,"American Express","Travel","Booking Fees","EUR","Y"
2026-03-15,"BOOKING.COM",-243.78,"American Express","Travel","Booking Fees","CAD","N"
2026-03-22,"EXPEDIA",-244.63,"American Express","Travel","Booking Fees","CAD","Y"
2026-03-03,"HUDSON NEWS",-210.26,"American Express","Meals","Snacks","EUR","Y"
2026-03-19,"HILTON",29.53,"American Express","Lodging","Hotel","AUD","N"
2026-03-25,"UNITED AIRLINES",-286.48,"American Express","Travel","Airfare","EUR","Y"
2026-03-18,"LYFT",-171.49,"American Express","Travel","Ground Transportation","EUR","Y"
2026-03-17,"STARBUCKS",78.28,"American Express","Meals","Coffee","USD","Y"
2026-03-06,"HERTZ",-162.12,"American Express","Travel","Car Rental","GBP","Y"
2026-03-10,"HUDSON NEWS",-313.18,"American Express","Meals","Snacks","AUD","Y"
2026-03-08,"HERTZ",-229.77,"American Express","Travel","Car Rental","BRL","N"
2026-03-10,"AVIS",-91.74,"American Express","Travel","Car Rental","GBP","N"
2026-03-26,"AVIS",-195.07,"American Express","Travel","Car Rental","GBP","N"
2026-03-13,"MCDONALDS",-217.43,"American Express","Meals","Restaurant","GBP","Y"
2026-03-20,"SHELL",-191.27,"American Express","Travel","Fuel","AUD","N"
2026-03-06,"AVIS",139.14,"American Express","Travel","Car Rental","BRL","Y"
2026-03-20,"UBER",41.82,"American Express","Travel","Ground Transportation","BRL","Y"
2026-03-29,"MCDONALDS",-160.63,"American Express","Meals","Restaurant","GBP","Y"
2026-03-20,"DELTA AIR LINES",-20.3,"American Express","Travel","Airfare","AUD","N"
2026-03-30,"MARRIOTT",74.31,"American Express","Lodging","Hotel","AUD","Y"
2026-03-09,"HERTZ",-163.64,"American Express","Travel","Car Rental","BRL","Y"
2026-03-16,"UNITED AIRLINES",-333.95,"American Express","Travel","Airfare","EUR","Y"
