"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-02-17,"SHELL",-81.79,"Chase Sapphire","Travel","Fuel","USD","Y"
2026-02-16,"HILTON",-169.32,"Chase Sapphire","Lodging","Hotel","GBP","Y"
2026-02-08,"AVIS",-290.89,"Chase Sapphire","Travel","Car Rental","EUR","N"
2026-02-21,"HERTZ",-3.44,"Chase Sapphire","Travel","Car Rental","GBP","Y"
2026-02-03,"HUDSON NEWS",356.87,"Chase Sapphire","Meals","Snacks","BRL","Y"
2026-02-12,"MCDONALDS",-159.45,"Chase Sapphire","Meals","Restaurant","EUR","Y"
2026-02-21,"AVIS",-223.24,"Chase Sapphire","Travel","Car Rental","CAD","Y"
2026-02-14,"HILTON",-294.51,"Chase Sapphire","Lodging","Hotel","GBP","Y"
2026-02-05,"STARBUCKS",-135.52,"Chase Sapphire","Meals","Coffee","GBP","Y"
2026-02-14,"EXPEDIA",-264.61,"Chase Sapphire","Travel","Booking Fees","EUR","Y"
2026-02-28,"BOOKING.COM",-141.75,"Chase Sapphire","Travel","Booking Fees","EUR","N"
2026-02-06,"HUDSON NEWS",-96.03,"Chase Sapphire","Meals","Snacks","BRL","Y"
2026-02-09,"HERTZ",-89.41,"Chase Sapphire","Travel","Car Rental","EUR","Y"
2026-02-01,"EXXON",-109.59,"Chase Sapphire","Travel","Fuel","AUD","Y"
2026-02-20,"SHELL",19.47,"Chase Sapphire","Travel","Fuel","USD","N"
2026-02-14,"HUDSON NEWS",-275.1,"Chase Sapphire","Meals","Snacks","BRL","Y"
2026-02-19,"BOOKING.COM",39.24,"Chase Sapphire","Travel","Booking Fees","USD","Y"
2026-02-05,"MARRIOTT",-213.72,"Chase Sapphire","Lodging","Hotel","CAD","Y"
2026-02-02,"DELTA AIR LINES",-241.5,"Chase Sapphire","Travel","Airfare","EUR","Y"
2026-02-01,"MCDONALDS",-66.53,"Chase Sapphire","Meals","Restaurant","CAD","Y"
2026-02-28,"SHELL",-135.97,"Chase Sapphire","Travel","Fuel","EUR","N"
2026-02-20,"MARRIOTT",-65.57,"Chase Sapphire","Lodging","Hotel","EUR","Y"
2026-02-04,"BOOKING.COM",-186.37,"Chase Sapphire","Travel","Booking Fees","GBP","N"
2026-02-27,"SHELL",49.9,"Chase Sapphire","Travel","Fuel","EUR","Y"
2026-02-26,"STARBUCKS",-137.16,"Chase Sapphire","Meals","Coffee","AUD","Y"
2026-02-26,"MARRIOTT",-124.68,"Chase Sapphire","Lodging","Hotel","AUD","Y"
2026-02-11,"LYFT",-146.6,"Chase Sapphire","Travel","Ground Transportation","GBP","Y"
2026-02-05,"SHELL",6.11,"Chase Sapphire","Travel","Fuel","GBP","Y"
2026-02-22,"HILTON",-325.83,"Chase Sapphire","Lodging","Hotel","USD","Y"
2026-02-04,"STARBUCKS",-344.87,"Chase Sapphire","Meals","Coffee","USD","Y"
