"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-01-08,"MARRIOTT",10.26,"Chase Sapphire","Lodging","Hotel","AUD","Y"
2026-01-11,"EXXON",-149.13,"Chase Sapphire","Travel","Fuel","BRL","Y"
2026-01-21,"BOOKING.COM",-27.89,"Chase Sapphire","Travel","Booking Fees","AUD","Y"
2026-01-25,"STARBUCKS",-292.61,"Chase Sapphire","Meals","Coffee","CAD","Y"
2026-01-07,"UBER",-236.59,"Chase Sapphire","Travel","Ground Transportation","USD","Y"
2026-01-19,"SHELL",32.31,"Chase Sapphire","Travel","Fuel","EUR","Y"
2026-01-23,"HILTON",-104.71,"Chase Sapphire","Lodging","Hotel","GBP","Y"
2026-01-08,"HERTZ",-396.27,"Chase Sapphire","Travel","Car Rental","USD","Y"
2026-01-27,"EXPEDIA",-313.68,"Chase Sapphire","Travel","Booking Fees","USD","Y"
2026-01-10,"HUDSON NEWS",-174.09,"Chase Sapphire","Meals","Snacks","GBP","Y"
2026-01-05,"MCDONALDS",-46.11,"Chase Sapphire","Meals","Restaurant","EUR","N"
2026-01-17,"MCDONALDS",-162.23,"Chase Sapphire","Meals","Restaurant","BRL","N"
2026-01-23,"MARRIOTT",-75.1,"Chase Sapphire","Lodging","Hotel","CAD","Y"
2026-01-06,"EXPEDIA",-34.92,"Chase Sapphire","Travel","Booking Fees","GBP","N"
2026-01-08,"AVIS",50.53,"Chase Sapphire","Travel","Car Rental","BRL","Y"
2026-01-20,"STARBUCKS",-143.28,"Chase Sapphire","Meals","Coffee","CAD","Y"
2026-01-06,"SHELL",-156.24,"Chase Sapphire","Travel","Fuel","GBP","Y"
2026-01-15,"AVIS",360.39,"Chase Sapphire","Travel","Car Rental","USD","Y"
2026-01-28,"UNITED AIRLINES",-138.08,"Chase Sapphire","Travel","Airfare","AUD","Y"
2026-01-17,"HUDSON NEWS",-218.62,"Chase Sapphire","Meals","Snacks","CAD","N"
2026-01-03,"EXPEDIA",266.88,"Chase Sapphire","Travel","Booking Fees","EUR","Y"
2026-01-28,"LYFT",-171.59,"Chase Sapphire","Travel","Ground Transportation","BRL","N"
2026-01-15,"HILTON",-28.21,"Chase Sapphire","Lodging","Hotel","EUR","Y"
2026-01-20,"BOOKING.COM",-389.13,"Chase Sapphire","Travel","Booking Fees","USD","Y"
2026-01-01,"EXPEDIA",-201.27,"Chase Sapphire","Travel","Booking Fees","CAD","N"
2026-01-05,"EXPEDIA",-136,"Chase Sapphire","Travel","Booking Fees","AUD","Y"
2026-01-11,"LYFT",-257.18,"Chase Sapphire","Travel","Ground Transportation","EUR","Y"
2026-01-15,"UNITED AIRLINES",-109.93,"Chase Sapphire","Travel","Airfare","CAD","Y"
2026-01-20,"UNITED AIRLINES",-100.63,"Chase Sapphire","Travel","Airfare","AUD","Y"
2026-01-02,"EXXON",-153.96,"Chase Sapphire","Travel","Fuel","USD","N"
