"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-03-15,"HUDSON NEWS",-138.13,"Chase Sapphire","Meals","Snacks","GBP","Y"
2026-03-14,"UNITED AIRLINES",-221.21,"Chase Sapphire","Travel","Airfare","BRL","Y"
2026-03-14,"MARRIOTT",-233.44,"Chase Sapphire","Lodging","Hotel","EUR","Y"
2026-03-26,"MARRIOTT",-81.56,"Chase Sapphire","Lodging","Hotel","AUD","Y"
2026-03-27,"UNITED AIRLINES",-263.06,"Chase Sapphire","Travel","Airfare","AUD","Y"
2026-03-17,"STARBUCKS",-189.85,"Chase Sapphire","Meals","Coffee","GBP","Y"
2026-03-01,"EXXON",-82.49,"Chase Sapphire","Travel","Fuel","BRL","N"
2026-03-18,"HERTZ",281.89,"Chase Sapphire","Travel","Car Rental","GBP","Y"
2026-03-18,"AVIS",-131.29,"Chase Sapphire","Travel","Car Rental","AUD","Y"
2026-03-20,"EXXON",-26.19,"Chase Sapphire","Travel","Fuel","BRL","Y"
2026-03-27,"UNITED AIRLINES",-48.8,"Chase Sapphire","Travel","Airfare","CAD","N"
2026-03-10,"MCDONALDS",-110.52,"Chase Sapphire","Meals","Restaurant","USD","Y"
2026-03-10,"LYFT",-375.8,"Chase Sapphire","Travel","Ground Transportation","CAD","Y"
2026-03-21,"SHELL",-194.48,"Chase Sapphire","Travel","Fuel","BRL","Y"
2026-03-31,"DELTA AIR LINES",-263.58,"Chase Sapphire","Travel","Airfare","CAD","Y"
2026-03-09,"EXPEDIA",-176.21,"Chase Sapphire","Travel","Booking Fees","USD","Y"
2026-03-31,"SHELL",-222.85,"Chase Sapphire","Travel","Fuel","USD","Y"
2026-03-19,"AVIS",-376.88,"Chase Sapphire","Travel","Car Rental","AUD","Y"
2026-03-23,"EXXON",-155.98,"Chase Sapphire","Travel","Fuel","USD","Y"
2026-03-23,"LYFT",319.41,"Chase Sapphire","Travel","Ground Transportation","EUR","Y"
2026-03-18,"MCDONALDS",-285.5,"Chase Sapphire","Meals","Restaurant","EUR","N"
2026-03-18,"STARBUCKS",-66.36,"Chase Sapphire","Meals","Coffee","BRL","Y"
2026-03-12,"DELTA AIR LINES",-111.9,"Chase Sapphire","Travel","Airfare","USD","Y"
2026-03-12,"SHELL",-251.03,"Chase Sapphire","Travel","Fuel","AUD","Y"
2026-03-28,"SHELL",-77.27,"Chase Sapphire","Travel","Fuel","EUR","Y"
2026-03-21,"HERTZ",-71.22,"Chase Sapphire","Travel","Car Rental","USD","Y"
2026-03-29,"HERTZ",-141.15,"Chase Sapphire","Travel","Car Rental","GBP","Y"
2026-03-24,"MARRIOTT",34.22,"Chase Sapphire","Lodging","Hotel","GBP","Y"
2026-03-04,"DELTA AIR LINES",-100.33,"Chase Sapphire","Travel","Airfare","AUD","Y"
2026-03-20,"EXXON",-37.23,"Chase Sapphire","Travel","Fuel","USD","Y"
