"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-02-21,"MARRIOTT",-32.52,"Chase Sapphire","Lodging","Hotel","USD","Y"
2026-02-28,"SHELL",-173.6,"Chase Sapphire","Travel","Fuel","EUR","Y"
2026-02-05,"EXXON",-251.6,"Chase Sapphire","Travel","Fuel","BRL","Y"
2026-02-15,"HUDSON NEWS",-133.4,"Chase Sapphire","Meals","Snacks","BRL","Y"
2026-02-21,"BOOKING.COM",-355.04,"Chase Sapphire","Travel","Booking Fees","USD","Y"
2026-02-08,"STARBUCKS",-206.7,"Chase Sapphire","Meals","Coffee","GBP","Y"
2026-02-23,"BOOKING.COM",-168.81,"Chase Sapphire","Travel","Booking Fees","AUD","N"
2026-02-21,"MARRIOTT",-323.11,"Chase Sapphire","Lodging","Hotel","USD","Y"
2026-02-13,"EXPEDIA",-127.83,"Chase Sapphire","Travel","Booking Fees","BRL","Y"
2026-02-15,"AVIS",-237.93,"Chase Sapphire","Travel","Car Rental","BRL","N"
2026-02-27,"HILTON",-16.31,"Chase Sapphire","Lodging","Hotel","GBP","Y"
2026-02-04,"UNITED AIRLINES",-183.73,"Chase Sapphire","Travel","Airfare","GBP","Y"
2026-02-01,"STARBUCKS",-280.92,"Chase Sapphire","Meals","Coffee","BRL","Y"
2026-02-05,"MCDONALDS",-121.29,"Chase Sapphire","Meals","Restaurant","BRL","Y"
2026-02-08,"DELTA AIR LINES",-156.39,"Chase Sapphire","Travel","Airfare","AUD","Y"
2026-02-20,"LYFT",-145.16,"Chase Sapphire","Travel","Ground Transportation","EUR","Y"
2026-02-06,"STARBUCKS",-124.15,"Chase Sapphire","Meals","Coffee","GBP","Y"
2026-02-26,"HILTON",-197.28,"Chase Sapphire","Lodging","Hotel","USD","Y"
2026-02-19,"UNITED AIRLINES",189.19,"Chase Sapphire","Travel","Airfare","USD","Y"
2026-02-18,"HUDSON NEWS",-72.24,"Chase Sapphire","Meals","Snacks","CAD","Y"
2026-02-15,"SHELL",45.21,"Chase Sapphire","Travel","Fuel","EUR","Y"
2026-02-07,"HUDSON NEWS",-381.08,"Chase Sapphire","Meals","Snacks","CAD","Y"
2026-02-20,"STARBUCKS",-166.28,"Chase Sapphire","Meals","Coffee","EUR","Y"
2026-02-15,"MCDONALDS",-32.44,"Chase Sapphire","Meals","Restaurant","CAD","N"
2026-02-26,"STARBUCKS",-291.51,"Chase Sapphire","Meals","Coffee","EUR","Y"
2026-02-01,"LYFT",-9.98,"Chase Sapphire","Travel","Ground Transportation","AUD","Y"
2026-02-06,"DELTA AIR LINES",-195.51,"Chase Sapphire","Travel","Airfare","EUR","Y"
2026-02-22,"HUDSON NEWS",-65.07,"Chase Sapphire","Meals","Snacks","AUD","N"
2026-02-20,"UNITED AIRLINES",26.85,"Chase Sapphire","Travel","Airfare","BRL","Y"
2026-02-10,"UBER",42.17,"Chase Sapphire","Travel","Ground Transportation","EUR","Y"
