"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-03-23,"SHELL",-207.23,"Chase Sapphire","Travel","Fuel","AUD","Y"
2026-03-04,"EXXON",-291.84,"Chase Sapphire","Travel","Fuel","EUR","Y"
2026-03-25,"MCDONALDS",-138.06,"Chase Sapphire","Meals","Restaurant","USD","Y"
2026-03-23,"LYFT",5.37,"Chase Sapphire","Travel","Ground Transportation","EUR","Y"
2026-03-02,"MARRIOTT",-33.55,"Chase Sapphire","Lodging","Hotel","AUD","Y"
2026-03-01,"SHELL",-254.14,"Chase Sapphire","Travel","Fuel","USD","N"
2026-03-21,"UNITED AIRLINES",-405.15,"Chase Sapphire","Travel","Airfare","EUR","Y"
2026-03-16,"SHELL",-174.65,"Chase Sapphire","Travel","Fuel","BRL","Y"
2026-03-22,"STARBUCKS",282.8,"Chase Sapphire","Meals","Coffee","GBP","Y"
2026-03-24,"HUDSON NEWS",-215.87,"Chase Sapphire","Meals","Snacks","AUD","Y"
2026-03-01,"STARBUCKS",-111.73,"Chase Sapphire","Meals","Coffee","EUR","Y"
2026-03-21,"STARBUCKS",-160.2,"Chase Sapphire","Meals","Coffee","EUR","Y"
2026-03-24,"STARBUCKS",122.1,"Chase Sapphire","Meals","Coffee","EUR","Y"
2026-03-07,"BOOKING.COM",-147.26,"Chase Sapphire","Travel","Booking Fees","CAD","Y"
2026-03-10,"MARRIOTT",-21.85,"Chase Sapphire","Lodging","Hotel","AUD","Y"
2026-03-30,"DELTA AIR LINES",-272.31,"Chase Sapphire","Travel","Airfare","USD","Y"
2026-03-21,"EXPEDIA",-176.52,"Chase Sapphire","Travel","Booking Fees","GBP","Y"
2026-03-16,"EXPEDIA",-55,"Chase Sapphire","Travel","Booking Fees","EUR","Y"
2026-03-08,"MARRIOTT",-68.77,"Chase Sapphire","Lodging","Hotel","AUD","Y"
2026-03-18,"AVIS",-311.21,"Chase Sapphire","Travel","Car Rental","AUD","Y"
2026-03-30,"HUDSON NEWS",-223.9,"Chase Sapphire","Meals","Snacks","AUD","Y"
2026-03-21,"EXXON",-150.88,"Chase Sapphire","Travel","Fuel","USD","Y"
2026-03-29,"STARBUCKS",-170.09,"Chase Sapphire","Meals","Coffee","EUR","Y"
2026-03-17,"HUDSON NEWS",-215.3,"Chase Sapphire","Meals","Snacks","CAD","Y"
2026-03-06,"SHELL",-294.16,"Chase Sapphire","Travel","Fuel","USD","Y"
2026-03-20,"STARBUCKS",28.46,"Chase Sapphire","Meals","Coffee","CAD","Y"
2026-03-03,"DELTA AIR LINES",-57.26,"Chase Sapphire","Travel","Airfare","CAD","Y"
2026-03-28,"DELTA AIR LINES",-17.52,"Chase Sapphire","Travel","Airfare","AUD","N"
2026-03-07,"DELTA AIR LINES",-145.69,"Chase Sapphire","Travel","Airfare","BRL","Y"
2026-03-24,"AVIS",-19.62,"Chase Sapphire","Travel","Car Rental","BRL","Y"
