"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-02-20,"UBER",-32.51,"Citi Platinum","Travel","Ground Transportation","CAD","N"
2026-02-27,"EXPEDIA",-119.76,"Citi Platinum","Travel","Booking Fees","GBP","Y"
2026-02-26,"SHELL",-191.32,"Citi Platinum","Travel","Fuel","CAD","Y"
2026-02-10,"UNITED AIRLINES",-187.21,"Citi Platinum","Travel","Airfare","AUD","Y"
2026-02-09,"EXPEDIA",-126.97,"Citi Platinum","Travel","Booking Fees","GBP","Y"
2026-02-18,"HERTZ",-225.11,"Citi Platinum","Travel","Car Rental","USD","Y"
2026-02-01,"DELTA AIR LINES",-121.91,"Citi Platinum","Travel","Airfare","BRL","Y"
2026-02-03,"HERTZ",-317.85,"Citi Platinum","Travel","Car Rental","USD","Y"
2026-02-11,"EXXON",200.31,"Citi Platinum","Travel","Fuel","CAD","Y"
2026-02-11,"HERTZ",-39.14,"Citi Platinum","Travel","Car Rental","BRL","Y"
2026-02-17,"DELTA AIR LINES",-158.07,"Citi Platinum","Travel","Airfare","USD","N"
2026-02-05,"HUDSON NEWS",-4.58,"Citi Platinum","Meals","Snacks","AUD","Y"
2026-02-08,"BOOKING.COM",-147.99,"Citi Platinum","Travel","Booking Fees","GBP","N"
2026-02-15,"UBER",-31.53,"Citi Platinum","Travel","Ground Transportation","GBP","Y"
2026-02-21,"UBER",-111.46,"Citi Platinum","Travel","Ground Transportation","GBP","Y"
2026-02-15,"EXXON",-217.62,"Citi Platinum","Travel","Fuel","CAD","N"
2026-02-18,"LYFT",-46.55,"Citi Platinum","Travel","Ground Transportation","BRL","Y"
2026-02-18,"UBER",-39.5,"Citi Platinum","Travel","Ground Transportation","EUR","Y"
2026-02-22,"AVIS",266.91,"Citi Platinum","Travel","Car Rental","EUR","Y"
2026-02-02,"STARBUCKS",-120.75,"Citi Platinum","Meals","Coffee","BRL","Y"
2026-02-07,"DELTA AIR LINES",29.03,"Citi Platinum","Travel","Airfare","BRL","Y"
2026-02-07,"BOOKING.COM",-129.98,"Citi Platinum","Travel","Booking Fees","AUD","Y"
2026-02-23,"LYFT",-67.78,"Citi Platinum","Travel","Ground Transportation","BRL","Y"
2026-02-21,"MARRIOTT",12.42,"Citi Platinum","Lodging","Hotel","AUD","Y"
2026-02-09,"HUDSON NEWS",-126.06,"Citi Platinum","Meals","Snacks","AUD","Y"
2026-02-16,"UNITED AIRLINES",-354.71,"Citi Platinum","Travel","Airfare","AUD","N"
2026-02-22,"SHELL",-172.73,"Citi Platinum","Travel","Fuel","GBP","Y"
2026-02-03,"MARRIOTT",-51.12,"Citi Platinum","Lodging","Hotel","BRL","Y"
2026-02-12,"UBER",-271.51,"Citi Platinum","Travel","Ground Transportation","EUR","N"
2026-02-19,"DELTA AIR LINES",-188.38,"Citi Platinum","Travel","Airfare","BRL","N"
