"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-03-21,"DELTA AIR LINES",-160.25,"Citi Platinum","Travel","Airfare","BRL","Y"
2026-03-12,"HERTZ",-8.64,"Citi Platinum","Travel","Car Rental","GBP","Y"
2026-03-15,"HUDSON NEWS",-91.66,"Citi Platinum","Meals","Snacks","USD","Y"
2026-03-18,"EXXON",-159.13,"Citi Platinum","Travel","Fuel","GBP","Y"
2026-03-05,"HILTON",-380.51,"Citi Platinum","Lodging","Hotel","GBP","Y"
2026-03-21,"HILTON",-266.11,"Citi Platinum","Lodging","Hotel","AUD","Y"
2026-03-01,"UBER",-216.81,"Citi Platinum","Travel","Ground Transportation","USD","Y"
2026-03-11,"UNITED AIRLINES",-283.22,"Citi Platinum","Travel","Airfare","GBP","N"
2026-03-23,"UNITED AIRLINES",-289.35,"Citi Platinum","Travel","Airfare","CAD","N"
2026-03-16,"HERTZ",-199.55,"Citi Platinum","Travel","Car Rental","USD","Y"
2026-03-28,"HERTZ",-35.77,"Citi Platinum","Travel","Car Rental","EUR","Y"
2026-03-25,"EXPEDIA",-260.42,"Citi Platinum","Travel","Booking Fees","EUR","N"
2026-03-22,"SHELL",-135.82,"Citi Platinum","Travel","Fuel","BRL","Y"
2026-03-07,"BOOKING.COM",-174.36,"Citi Platinum","Travel","Booking Fees","USD","Y"
2026-03-25,"BOOKING.COM",-54.83,"Citi Platinum","Travel","Booking Fees","BRL","Y"
2026-03-20,"DELTA AIR LINES",145.39,"Citi Platinum","Travel","Airfare","AUD","Y"
2026-03-28,"MCDONALDS",-170.18,"Citi Platinum","Meals","Restaurant","GBP","N"
2026-03-28,"MARRIOTT",-220.1,"Citi Platinum","Lodging","Hotel","CAD","Y"
2026-03-04,"EXXON",-42.97,"Citi Platinum","Travel","Fuel","CAD","Y"
2026-03-23,"UNITED AIRLINES",13.28,"Citi Platinum","Travel","Airfare","GBP","Y"
2026-03-21,"MCDONALDS",-147.67,"Citi Platinum","Meals","Restaurant","GBP","Y"
2026-03-27,"HERTZ",242.61,"Citi Platinum","Travel","Car Rental","EUR","Y"
2026-03-16,"MARRIOTT",-150.36,"Citi Platinum","Lodging","Hotel","CAD","Y"
2026-03-10,"UBER",200.86,"Citi Platinum","Travel","Ground Transportation","USD","Y"
2026-03-06,"DELTA AIR LINES",-166.07,"Citi Platinum","Travel","Airfare","CAD","Y"
2026-03-23,"HILTON",-338.48,"Citi Platinum","Lodging","Hotel","CAD","Y"
2026-03-29,"STARBUCKS",-320.97,"Citi Platinum","Meals","Coffee","AUD","Y"
2026-03-02,"LYFT",-254.58,"Citi Platinum","Travel","Ground Transportation","USD","Y"
2026-03-29,"EXPEDIA",27.41,"Citi Platinum","Travel","Booking Fees","AUD","Y"
2026-03-18,"HILTON",54.4,"Citi Platinum","Lodging","Hotel","EUR","Y"
