"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-02-24,"EXXON",-144.63,"American Express","Travel","Fuel","AUD","Y"
2026-02-04,"MCDONALDS",-70.62,"American Express","Meals","Restaurant","AUD","Y"
2026-02-20,"BOOKING.COM",-41.23,"American Express","Travel","Booking Fees","AUD","Y"
2026-02-13,"MCDONALDS",28.04,"American Express","Meals","Restaurant","CAD","Y"
2026-02-03,"STARBUCKS",-110.5,"American Express","Meals","Coffee","GBP","N"
2026-02-14,"HERTZ",-165.38,"American Express","Travel","Car Rental","USD","N"
2026-02-04,"HILTON",229.35,"American Express","Lodging","Hotel","GBP","Y"
2026-02-25,"EXXON",-119.51,"American Express","Travel","Fuel","CAD","N"
2026-02-05,"HERTZ",-157.72,"American Express","Travel","Car Rental","AUD","Y"
2026-02-25,"HERTZ",-189.02,"American Express","Travel","Car Rental","USD","N"
2026-02-17,"HILTON",-231.24,"American Express","Lodging","Hotel","BRL","Y"
2026-02-02,"STARBUCKS",-270.7,"American Express","Meals","Coffee","AUD","Y"
2026-02-17,"UNITED AIRLINES",-267.95,"American Express","Travel","Airfare","BRL","Y"
2026-02-10,"BOOKING.COM",26.26,"American Express","Travel","Booking Fees","USD","N"
2026-02-04,"HERTZ",-119.93,"American Express","Travel","Car Rental","EUR","Y"
2026-02-26,"MCDONALDS",-201.61,"American Express","Meals","Restaurant","GBP","N"
2026-02-14,"UNITED AIRLINES",-339.5,"American Express","Travel","Airfare","EUR","Y"
2026-02-17,"HERTZ",-126.86,"American Express","Travel","Car Rental","BRL","Y"
2026-02-27,"MARRIOTT",-209.68,"American Express","Lodging","Hotel","GBP","Y"
2026-02-26,"DELTA AIR LINES",-160.31,"American Express","Travel","Airfare","AUD","Y"
2026-02-05,"AVIS",-174.86,"American Express","Travel","Car Rental","GBP","Y"
2026-02-14,"EXPEDIA",-56.87,"American Express","Travel","Booking Fees","USD","Y"
2026-02-03,"HUDSON NEWS",-158.24,"American Express","Meals","Snacks","BRL","Y"
2026-02-10,"EXXON",171.36,"American Express","Travel","Fuel","GBP","N"
2026-02-22,"UBER",134.74,"American Express","Travel","Ground Transportation","GBP","Y"
2026-02-26,"AVIS",-19.54,"American Express","Travel","Car Rental","EUR","Y"
2026-02-05,"MCDONALDS",-134.4,"American Express","Meals","Restaurant","AUD","N"
2026-02-01,"UBER",-237.74,"American Express","Travel","Ground Transportation","GBP","Y"
2026-02-18,"MARRIOTT",-8.5,"American Express","Lodging","Hotel","USD","Y"
2026-02-15,"EXPEDIA",-261.92,"American Express","Travel","Booking Fees","CAD","Y"
