"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-01-22,"DELTA AIR LINES",-88.66,"American Express","Travel","Airfare","GBP","Y"
2026-01-14,"LYFT",-75.78,"American Express","Travel","Ground Transportation","CAD","Y"
2026-01-22,"MCDONALDS",154.84,"American Express","Meals","Restaurant","AUD","Y"
2026-01-18,"SHELL",56.34,"American Express","Travel","Fuel","GBP","Y"
2026-01-05,"SHELL",-205.79,"American Express","Travel","Fuel","GBP","N"
2026-01-27,"EXXON",-270.81,"American Express","Travel","Fuel","CAD","Y"
2026-01-24,"AVIS",-75.48,"American Express","Travel","Car Rental","USD","N"
2026-01-26,"BOOKING.COM",89.19,"American Express","Travel","Booking Fees","CAD","Y"
2026-01-25,"UNITED AIRLINES",-291.98,"American Express","Travel","Airfare","EUR","Y"
2026-01-05,"BOOKING.COM",-243.66,"American Express","Travel","Booking Fees","AUD","Y"
2026-01-17,"HILTON",59.72,"American Express","Lodging","Hotel","GBP","Y"
2026-01-29,"HILTON",70.46,"American Express","Lodging","Hotel","GBP","N"
2026-01-29,"HILTON",-126.65,"American Express","Lodging","Hotel","AUD","Y"
2026-01-09,"LYFT",-344.43,"American Express","Travel","Ground Transportation","GBP","N"
2026-01-15,"LYFT",-215.11,"American Express","Travel","Ground Transportation","USD","Y"
2026-01-18,"MCDONALDS",-9.91,"American Express","Meals","Restaurant","EUR","Y"
2026-01-14,"EXXON",108.45,"American Express","Travel","Fuel","BRL","Y"
2026-01-02,"AVIS",-151.91,"American Express","Travel","Car Rental","EUR","N"
2026-01-04,"MCDONALDS",-225.77,"American Express","Meals","Restaurant","USD","Y"
2026-01-27,"STARBUCKS",-113.37,"American Express","Meals","Coffee","EUR","Y"
2026-01-29,"MARRIOTT",-132.61,"American Express","Lodging","Hotel","EUR","Y"
2026-01-24,"LYFT",259.12,"American Express","Travel","Ground Transportation","AUD","Y"
2026-01-08,"BOOKING.COM",78.97,"American Express","Travel","Booking Fees","AUD","N"
2026-01-03,"STARBUCKS",16.85,"American Express","Meals","Coffee","EUR","N"
2026-01-04,"HERTZ",-148.43,"American Express","Travel","Car Rental","AUD","Y"
2026-01-17,"UBER",-74.91,"American Express","Travel","Ground Transportation","AUD","Y"
2026-01-02,"UNITED AIRLINES",-119.75,"American Express","Travel","Airfare","BRL","N"
2026-01-10,"UBER",-94.61,"American Express","Travel","Ground Transportation","AUD","Y"
2026-01-18,"EXXON",-175.63,"American Express","Travel","Fuel","EUR","Y"
2026-01-24,"BOOKING.COM",-6.25,"American Express","Travel","Booking Fees","GBP","Y"
