"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-03-03,"HUDSON NEWS",-112.09,"American Express","Meals","Snacks","CAD","N"
2026-03-23,"UNITED AIRLINES",-227.1,"American Express","Travel","Airfare","USD","Y"
2026-03-28,"UNITED AIRLINES",-151.89,"American Express","Travel","Airfare","GBP","Y"
2026-03-28,"MARRIOTT",-161.84,"American Express","Lodging","Hotel","GBP","Y"
2026-03-14,"MCDONALDS",-152.82,"American Express","Meals","Restaurant","USD","Y"
2026-03-24,"EXXON",-203.52,"American Express","Travel","Fuel","BRL","Y"
2026-03-23,"HERTZ",106.69,"American Express","Travel","Car Rental","BRL","Y"
2026-03-28,"STARBUCKS",-279.92,"American Express","Meals","Coffee","USD","Y"
2026-03-27,"EXXON",-104.7,"American Express","Travel","Fuel","CAD","Y"
2026-03-20,"SHELL",-190.73,"American Express","Travel","Fuel","GBP","Y"
2026-03-18,"AVIS",-190.27,"American Express","Travel","Car Rental","USD","Y"
2026-03-30,"LYFT",-65.3,"American Express","Travel","Ground Transportation","CAD","Y"
2026-03-28,"LYFT",-201.31,"American Express","Travel","Ground Transportation","GBP","N"
2026-03-07,"EXXON",-268.24,"American Express","Travel","Fuel","EUR","Y"
2026-03-11,"SHELL",-294.36,"American Express","Travel","Fuel","USD","Y"
2026-03-19,"AVIS",-69.72,"American Express","Travel","Car Rental","BRL","Y"
2026-03-29,"HILTON",-429.99,"American Express","Lodging","Hotel","EUR","Y"
2026-03-06,"SHELL",-200.03,"American Express","Travel","Fuel","GBP","Y"
2026-03-25,"BOOKING.COM",-128.23,"American Express","Travel","Booking Fees","CAD","Y"
2026-03-16,"HUDSON NEWS",-315,"American Express","Meals","Snacks","BRL","Y"
2026-03-13,"UBER",-149.16,"American Express","Travel","Ground Transportation","CAD","Y"
2026-03-16,"UBER",-69.57,"American Express","Travel","Ground Transportation","GBP","Y"
2026-03-14,"HUDSON NEWS",368.93,"American Express","Meals","Snacks","AUD","Y"
2026-03-29,"UNITED AIRLINES",-256.47,"American Express","Travel","Airfare","EUR","Y"
2026-03-15,"MCDONALDS",61.47,"American Express","Meals","Restaurant","AUD","Y"
2026-03-26,"HERTZ",-228.55,"American Express","Travel","Car Rental","GBP","Y"
2026-03-07,"MCDONALDS",-265.93,"American Express","Meals","Restaurant","CAD","Y"
2026-03-31,"DELTA AIR LINES",-252.93,"American Express","Travel","Airfare","CAD","Y"
2026-03-01,"AVIS",-202.12,"American Express","Travel","Car Rental","AUD","N"
2026-03-16,"UBER",-127.69,"American Express","Travel","Ground Transportation","EUR","Y"
