"Date","Vendor","Amount","CreditCardMerchant","ExpenseAllocationCategory","Subcategory","Currency","Billable"
2026-02-04,"SHELL",-269.71,"Chase Sapphire","Travel","Fuel","EUR","Y"
2026-02-06,"MCDONALDS",18.05,"Chase Sapphire","Meals","Restaurant","AUD","Y"
2026-02-05,"HILTON",161.94,"Chase Sapphire","Lodging","Hotel","USD","N"
2026-02-16,"STARBUCKS",275.68,"Chase Sapphire","Meals","Coffee","CAD","Y"
2026-02-09,"UBER",-136.74,"Chase Sapphire","Travel","Ground Transportation","AUD","Y"
2026-02-21,"HERTZ",-338.17,"Chase Sapphire","Travel","Car Rental","USD","Y"
2026-02-18,"SHELL",-141.64,"Chase Sapphire","Travel","Fuel","EUR","Y"
2026-02-04,"EXPEDIA",-186.86,"Chase Sapphire","Travel","Booking Fees","CAD","Y"
2026-02-13,"BOOKING.COM",-151.45,"Chase Sapphire","Travel","Booking Fees","USD","Y"
2026-02-16,"DELTA AIR LINES",197.38,"Chase Sapphire","Travel","Airfare","EUR","Y"
2026-02-13,"HERTZ",-317.84,"Chase Sapphire","Travel","Car Rental","GBP","N"
2026-02-03,"EXXON",-98.15,"Chase Sapphire","Travel","Fuel","BRL","N"
2026-02-06,"STARBUCKS",69.92,"Chase Sapphire","Meals","Coffee","USD","N"
2026-02-17,"STARBUCKS",-223.32,"Chase Sapphire","Meals","Coffee","BRL","Y"
2026-02-22,"HUDSON NEWS",-248.32,"Chase Sapphire","Meals","Snacks","AUD","Y"
2026-02-19,"SHELL",-144.2,"Chase Sapphire","Travel","Fuel","GBP","Y"
2026-02-22,"UBER",6.07,"Chase Sapphire","Travel","Ground Transportation","CAD","Y"
2026-02-23,"LYFT",-191.17,"Chase Sapphire","Travel","Ground Transportation","AUD","Y"
2026-02-06,"STARBUCKS",-273.09,"Chase Sapphire","Meals","Coffee","BRL","Y"
2026-02-10,"EXPEDIA",-141.53,"Chase Sapphire","Travel","Booking Fees","CAD","Y"
2026-02-20,"HILTON",-392.14,"Chase Sapphire","Lodging","Hotel","AUD","Y"
2026-02-21,"BOOKING.COM",327.05,"Chase Sapphire","Travel","Booking Fees","GBP","N"
2026-02-08,"LYFT",-19.62,"Chase Sapphire","Travel","Ground Transportation","GBP","Y"
2026-02-08,"UBER",-94.94,"Chase Sapphire","Travel","Ground Transportation","EUR","N"
2026-02-03,"HUDSON NEWS",-410.88,"Chase Sapphire","Meals","Snacks","AUD","N"
2026-02-10,"MARRIOTT",-75.89,"Chase Sapphire","Lodging","Hotel","BRL","Y"
2026-02-18,"SHELL",-426.58,"Chase Sapphire","Travel","Fuel","EUR","Y"
2026-02-20,"HERTZ",-203.64,"Chase Sapphire","Travel","Car Rental","CAD","Y"
2026-02-18,"EXPEDIA",-114.06,"Chase Sapphire","Travel","Booking Fees","USD","Y"
2026-02-26,"BOOKING.COM",-321.42,"Chase Sapphire","Travel","Booking Fees","USD","Y"
